Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Price to book value
AGI Greenpac,500187,AGI,INE415A01038,Industrial Products,Packaging,747.25,13.13,4834.51,0.92,99.58,12.08,785.27,14.19,19.54,4.26,5.74,1.43,202606.00,56.10,15.39,10.70,2.00
Ajmera Realty,513349,AJMERA,INE298G01035,Realty,"Residential, Commercial Projects",113.25,14.37,2228.69,0.85,44.94,12.49,316.97,22.65,14.28,43.14,16.39,27.30,202606.00,7.85,2.19,23.58,1.62
Ashoka Buildcon,533271,ASHOKA,INE442H01029,Construction,Civil Construction,111.75,4.68,3137.05,0.00,127.17,-41.23,1499.61,-20.53,26.36,-24.59,-61.57,-47.39,202606.00,87.64,4.55,-51.09,0.49
Automotive Axles,505010,AUTOAXLES,INE449A01011,Auto Components,Auto Components & Equipments,1663.55,13.75,2513.61,1.92,45.60,27.66,516.82,5.61,21.55,6.30,16.27,13.71,202606.00,115.31,30.17,1.45,2.30
Balmer Law. Inv.,532485,BLIL,INE525F01025,Finance,Holding Company,67.15,8.33,1490.56,6.36,72.59,1.86,751.14,9.90,16.91,8.80,2.36,10.24,202606.00,8.07,2.05,17.38,1.02
Bharat Rasayan,590021,BHARATRAS,INE838B01021,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,1132.70,13.55,1882.65,0.04,36.64,-32.66,338.16,-10.40,16.08,-5.17,-9.02,-15.82,202606.00,81.79,22.04,2.30,1.49
Birlasoft Ltd,532400,BSOFT,INE836A01035,IT - Software,Computers - Software & Consulting,286.80,13.48,8020.87,2.27,161.00,51.27,1379.40,7.35,21.15,1.35,26.11,40.67,202606.00,20.52,5.76,17.34,1.94
C P C L,500110,CHENNPETRO,INE178A01016,Petroleum Products,Refineries & Marketing,1483.35,5.26,22088.72,4.11,1031.35,2671.95,27369.27,84.77,34.94,33.51,2379.87,1278.86,202606.00,280.30,69.26,-4.50,2.03
Chamanlal Setia,530307,CLSEL,INE419D01026,Agricultural Food & other Products,Other Agricultural Products,285.25,11.35,1418.39,1.04,31.99,47.83,345.92,12.58,18.18,2.68,22.80,23.49,202606.00,25.16,6.43,0.03,1.70
D B Corp,533151,DBCORP,INE950I01011,Media,Print Media,188.40,9.53,3358.32,3.72,100.73,24.60,603.74,7.92,18.28,3.95,5.37,4.70,202606.00,19.74,5.65,25.02,1.40
Deep Industries,543288,DEEPINDS,INE0FHS01024,Oil,Oil Equipment & Services,730.90,11.31,4677.76,0.32,89.14,45.12,278.92,39.81,16.47,48.75,132.59,45.47,202606.00,32.26,13.34,62.00,2.37
Dolat Algotech,505526,DOLATALGO,INE966A01022,Capital Markets,Stockbroking & Allied,68.32,8.34,1202.39,0.14,53.82,38.68,114.25,37.37,16.32,-13.02,-21.16,-16.46,202606.00,8.18,3.06,3.59,1.08
Dollar Industrie,541403,DOLLAR,INE325C01035,Textiles & Apparels,Garments & Apparels,265.00,13.59,1502.98,1.16,24.46,24.67,389.07,1.36,13.64,6.08,17.60,11.40,202606.00,19.50,4.31,21.81,1.57
Expleo Solutions,533121,EXPLEOSOL,INE201K01015,IT - Services,IT Enabled Services,866.45,9.19,1344.74,12.71,34.18,67.30,291.55,12.29,24.25,10.42,47.15,18.13,202606.00,88.75,22.02,-13.11,1.75
Federal-Mogul Go,505744,FMGOETZE,INE529A01010,Auto Components,Auto Components & Equipments,442.60,13.58,2462.19,1.70,45.33,0.49,526.27,8.81,18.63,8.80,6.92,2.63,202606.00,30.71,7.81,21.70,1.72
Gandhar Oil Ref.,544029,GANDHAR,INE717W01049,Petroleum Products,Lubricants,266.60,8.69,2609.43,0.71,205.89,633.09,1731.93,91.81,13.33,32.78,299.64,191.51,202606.00,30.79,19.65,-16.58,1.97
