Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Average return on capital employed 5Years
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,31795.25,81.28,35833.25,0.49,233.07,-0.42,1423.21,19.00,50.01,15.71,-11.22,21.86,202606.00,512.82,206.90,9.22,33.31
Anthem Bioscienc,544449,ANTHEM,INE0CZ201020,Pharmaceuticals & Biotechnology,Biotechnology,945.45,89.74,53260.81,0.21,119.94,-11.67,418.22,-22.58,30.37,-2.14,17.56,6.94,202606.00,10.25,2.13,21.45,32.32
Caplin Point Lab,524742,CAPLIPOINT,INE475E01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,2588.00,29.53,19671.85,0.29,179.09,15.78,610.36,19.63,24.24,15.01,17.73,18.40,202606.00,87.53,23.27,18.59,26.21
Coal India,533278,COALINDIA,INE522F01014,Consumable Fuels,Coal,420.50,8.32,259142.71,6.31,8849.81,0.63,46254.80,7.77,34.97,6.10,-6.00,-9.98,202606.00,50.63,14.36,-0.68,55.47
eClerx Services,532927,ECLERX,INE738I01010,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),1898.35,24.47,17854.09,0.05,164.24,15.99,1152.36,23.31,34.42,23.20,27.61,26.58,202606.00,77.23,17.47,14.41,32.90
Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles,2/3 Wheelers,7460.00,35.17,204793.23,1.09,1462.51,21.35,6632.42,31.55,30.53,28.07,20.22,29.97,202606.00,210.41,53.28,23.90,27.42
Fine Organic,541557,FINEORG,INE686Y01026,Chemicals & Petrochemicals,Specialty Chemicals,5140.00,35.97,15759.24,0.21,138.14,23.45,694.17,17.98,21.47,7.09,7.08,7.18,202606.00,142.89,45.06,-12.90,36.65
GE Vernova T&D,522275,GVT&D,INE200A01026,Electrical Equipment,Heavy Electrical Equipment,4251.90,80.61,108869.90,0.22,362.99,24.65,1836.14,38.04,77.44,43.91,76.51,71.55,202606.00,50.97,14.18,489.90,30.81
Gillette India,507815,GILLETTE,INE322A01010,Personal Products,Personal Care,7260.00,35.44,23660.32,2.44,159.45,9.44,783.02,10.80,90.69,7.96,18.59,18.71,202606.00,205.02,48.93,31.25,60.19
Happy Forgings,544057,HAPPYFORGE,INE330T01021,Industrial Products,Castings & Forgings,2076.00,59.87,19593.03,0.18,91.46,39.23,449.42,27.03,18.03,15.53,21.60,24.41,202606.00,34.70,9.69,10.77,21.57
HBL Engineering,517271,HBLENGINE,INE292B01021,Industrial Products,Other Industrial Products,717.75,24.80,19895.58,0.42,109.14,-25.07,638.03,6.03,59.30,62.97,133.59,125.54,202606.00,28.16,3.94,104.74,29.93
HDFC AMC,541729,HDFCAMC,INE127D01025,Capital Markets,Asset Management Company,2394.00,34.76,102657.24,2.20,838.36,12.09,1098.50,13.51,42.88,15.14,13.24,13.55,202606.00,68.86,19.56,26.00,38.48
Hexaware Tech.,544362,HEXT,INE093A01041,IT - Software,Computers - Software & Consulting,517.10,22.30,31595.63,2.18,330.20,-13.16,3845.20,17.93,30.07,13.02,6.61,12.62,202606.00,22.01,5.40,-6.83,28.17
Hitachi Energy,543187,POWERINDIA,INE07Y701011,Electrical Equipment,Heavy Electrical Equipment,30210.00,112.98,134653.11,0.03,294.15,123.52,2493.69,68.62,29.36,40.17,135.80,112.70,202606.00,258.09,65.99,118.14,21.06
I R C T C,542830,IRCTC,INE335Y01020,Leisure Services,"Tour, Travel Related Services",458.50,26.60,36680.00,1.95,329.86,-0.18,1369.53,18.10,46.10,15.01,5.59,5.28,202606.00,17.41,4.12,11.64,51.88
ICICI AMC,544658,ICICIAMC,INE346A01027,Capital Markets,Asset Management Company,3078.50,43.71,152157.45,0.89,964.63,23.10,1564.22,17.55,115.10,20.53,24.43,24.59,202606.00,100.95,19.52,-57.33,102.76
Inventurus Knowl,544309,IKS,INE115Q01022,IT - Services,IT Enabled Services,1782.60,40.12,30600.70,0.00,193.74,27.85,893.63,20.74,31.51,21.10,40.91,35.89,202606.00,44.50,11.29,29.56,37.18
KPIT Technologi.,542651,KPITTECH,INE04I401011,IT - Software,Computers - Software & Consulting,564.90,24.80,15486.36,1.30,116.41,-31.83,1674.99,8.85,26.26,9.55,-22.64,-3.12,202606.00,21.25,4.27,21.08,31.76
L&T Technology,540115,LTTS,INE010V01017,IT - Services,IT Enabled Services,3332.10,26.33,35348.96,1.72,357.10,17.38,2940.10,11.47,26.71,10.13,9.97,12.26,202606.00,124.51,33.62,5.71,29.77
LTM,540005,LTM,INE214T01019,IT - Software,Computers - Software & Consulting,4359.60,23.12,129315.00,1.66,1468.60,16.92,11608.00,17.96,29.60,13.87,18.88,21.84,202606.00,176.40,49.43,6.95,34.98
Natl. Aluminium,532234,NATIONALUM,INE139A01034,Non - Ferrous Metals,Aluminium,352.65,9.60,64768.78,3.21,2003.14,90.87,5302.38,39.28,39.59,9.02,17.83,13.50,202606.00,36.76,10.91,59.34,29.70
Netweb Technol.,543945,NETWEB,INE0NT901020,IT - Services,IT Enabled Services,4631.00,105.64,27530.15,0.06,85.32,179.92,819.69,172.13,37.48,107.70,102.07,96.42,202606.00,45.87,14.98,57.58,44.85
Nippon Life Ind.,540767,NAM-INDIA,INE298J01013,Capital Markets,Asset Management Company,1167.05,45.59,74665.75,1.81,503.70,27.16,766.87,26.42,43.80,23.01,21.24,26.51,202606.00,25.66,7.88,27.34,35.43
Page Industries,532827,PAGEIND,INE761H01022,Textiles & Apparels,Garments & Apparels,34794.95,49.68,38809.84,1.58,192.81,-3.98,1420.45,7.89,64.39,7.57,2.21,2.99,202606.00,677.65,172.86,11.41,57.94
Pidilite Inds.,500331,PIDILITIND,INE318A01026,Chemicals & Petrochemicals,Specialty Chemicals,1535.70,58.95,156315.79,0.73,883.51,28.18,4551.55,21.27,31.02,14.09,20.39,20.11,202606.00,26.03,8.57,24.56,27.94
Polycab India,542652,POLYCAB,INE455K01017,Industrial Products,Cables - Electricals,8191.50,43.11,123439.04,0.57,796.66,32.46,8209.73,39.01,33.21,32.06,29.24,32.46,202606.00,190.23,52.07,27.28,28.42
SBI Funds Mgt.,544829,SBIFUNDS,INE640G01020,Capital Markets,Asset Management Company,534.00,35.13,108766.65,0.00,880.26,3.70,1152.73,15.16,56.50,17.27,20.76,18.66,202603.00,15.06,4.32,31.33,47.52
Schaeffler India,505790,SCHAEFFLER,INE513A01022,Auto Components,Auto Components & Equipments,3926.40,47.58,61371.06,0.90,336.73,13.67,2681.41,17.50,27.90,19.24,22.02,21.49,202606.00,82.60,21.54,11.33,26.76
Tata Technolog.,544028,TATATECH,INE142M01025,IT - Services,IT Enabled Services,762.55,47.56,30963.59,1.05,180.75,6.15,1664.63,33.78,20.90,15.21,-5.02,1.90,202606.00,13.72,4.45,-0.61,25.54
Travel Food,544443,TRAVELFOOD,INE103V01028,Leisure Services,Restaurants,1225.00,33.91,16134.52,0.81,128.76,38.10,452.22,20.58,42.35,4.36,19.14,11.13,202606.00,36.15,9.62,-62.12,33.90
Trent,500251,TRENT,INE849A01020,Retailing,Speciality Retail,2755.90,80.40,146953.45,0.14,518.07,20.79,5754.71,17.84,28.34,16.92,15.45,31.27,202606.00,33.93,9.73,70.71,20.31
Varun Beverages,540180,VBL,INE200M01039,Beverages,Other Beverages,410.45,41.00,138833.32,0.36,1525.36,15.47,8451.23,20.43,19.71,14.46,18.88,13.12,202606.00,10.01,4.50,22.31,23.58
