Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Debt to equity,Interest Coverage Ratio
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,83.46,47.69,10186.44,0.60,29.02,20.62,2045.74,11.15,15.02,9.07,31.53,17.11,202606.00,1.44,0.24,,2.14,1.77
A.K.Capital Serv,530499,AKCAPIT,INE701G01012,Finance,Non Banking Financial Company (NBFC),1710.00,9.87,1128.60,3.51,28.26,17.71,139.72,3.92,9.33,15.22,34.44,15.37,202606.00,173.41,41.20,8.00,2.95,1.69
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1279.10,14.74,10142.54,0.00,171.27,23.01,708.72,12.93,9.92,13.32,16.97,11.68,202606.00,86.70,21.60,14.93,3.11,1.79
Abhinav Leasing,538952,,INE211D01027,Finance,Non Banking Financial Company (NBFC),1.10,12.50,5.50,0.00,0.16,-40.74,0.81,131.43,6.27,-67.18,193.62,944.00,202606.00,0.09,0.03,87.58,5.64,1.35
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025,Power,Power Generation,414.20,49.19,29278.64,0.05,235.33,64.83,857.50,67.81,8.89,47.52,45.44,44.76,202606.00,9.41,3.33,63.01,3.93,1.66
Adani Green,541450,ADANIGREEN,INE364U01010,Power,Power Generation,1254.35,106.58,206613.51,0.00,983.00,16.89,4431.00,16.61,7.39,10.98,4.37,22.74,202606.00,10.83,5.13,15.82,5.19,1.29
Adarsh Plant,526711,,INE627D01016,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,26.65,,26.41,0.00,-0.29,-625.00,2.38,-10.19,5.72,-26.85,73.00,201.41,202606.00,-0.27,-0.29,,20.82,0.30
Adit.Birla Money,532974,BIRLAMONEY,INE865C01022,Capital Markets,Stockbroking & Allied,118.00,11.79,666.81,0.00,11.13,-27.63,130.77,16.02,9.91,9.29,-22.63,2.34,202606.00,9.60,1.97,21.35,7.35,1.51
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,380.75,25.96,104232.11,0.00,1223.85,40.07,12179.54,28.17,8.72,16.33,18.14,19.74,202606.00,15.04,4.30,-9.09,5.22,1.46
Aditya Ispat,513513,,INE570B01012,Industrial Products,Iron & Steel Products,7.90,,4.23,0.00,-0.83,11.70,7.44,13.94,-36.24,-15.29,-517.65,-261.50,202606.00,-13.74,-1.55,,3.29,-4.69
