Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Average return on capital employed 3Years
Atlanta Electric,544527,ATLANTAELE,INE0Z4F01028,Electrical Equipment,Heavy Electrical Equipment,1670.05,58.84,12842.12,0.00,46.84,50.42,466.33,47.99,45.28,59.03,74.72,85.51,202606.00,28.28,6.09,-24.44,46.93
BLS Internat.,540073,BLS,INE153T01027,Leisure Services,"Tour, Travel Related Services",230.85,13.48,9505.05,1.06,201.63,11.15,890.53,25.33,29.34,31.81,24.91,23.79,202606.00,17.14,4.62,50.09,31.33
Canara Robeco,544580,CRAMC,INE218I01013,Capital Markets,Asset Management Company,233.30,21.28,4652.45,1.67,75.60,23.98,145.37,20.07,40.11,13.00,8.87,10.06,202606.00,10.95,3.79,-13.55,45.35
Crizac,544439,CRIZAC,INE0S4R01014,Retailing,Internet & Catalogue Retail,179.35,14.19,3138.25,4.49,46.17,2.88,201.21,-3.98,52.34,15.17,38.40,29.03,202606.00,12.60,2.69,-51.68,64.59
Danish Power,,DANISH,INE0YU901016,Electrical Equipment,Heavy Electrical Equipment,982.50,27.65,1934.68,0.20,41.17,9.23,309.84,18.61,23.75,22.57,20.02,11.17,202603.00,35.55,20.91,,44.77
Dynamic Cables,540795,DYCL,INE600Y01019,Industrial Products,Cables - Electricals,436.00,23.15,2112.77,0.11,24.95,37.01,349.10,33.22,26.21,19.10,27.67,27.33,202606.00,18.82,5.15,34.48,25.30
EPack PrefabTech,544540,EPACKPEB,INE0MLS01022,Industrial Manufacturing,Industrial Products,226.90,24.09,2283.28,0.00,18.17,13.35,365.84,23.87,21.71,37.53,52.62,35.54,202606.00,9.43,1.81,-46.82,24.27
Jaro Institute,544534,JARO,INE00YJ01010,Other Consumer Services,E-Learning,466.85,18.40,1039.68,1.06,11.17,48.34,70.75,16.61,22.09,12.52,34.84,4.43,202606.00,25.49,5.02,37.26,36.43
Jeena Sikho,544476,JSLL,INE0J5801029,Leisure Services,Wellness,502.55,26.41,6246.74,0.89,65.69,28.03,224.40,28.75,70.74,56.71,103.13,86.67,202606.00,19.03,5.28,88.23,59.64
Kalyani Cast-Tec,544023,,INE0N6U01018,Industrial Manufacturing,Industrial Products,1145.00,46.04,822.17,0.00,7.53,20.87,57.59,-16.57,31.04,7.74,28.12,14.37,202603.00,24.87,10.49,15.76,31.93
