Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Pledged percentage
A2Z Infra Engg.,533292,A2ZINFRA,INE619I01012,Construction,Civil Construction,15.19,63.77,269.66,0.00,-0.02,-98.57,68.45,-24.37,16.34,5.88,-66.25,-78.70,202606.00,0.21,0.00,-22.33,99.68
Aditya Ispat,513513,,INE570B01012,Industrial Products,Iron & Steel Products,7.90,,4.23,0.00,-0.83,11.70,7.44,13.94,-36.24,-15.29,-517.65,-261.50,202606.00,-13.74,-1.55,,100.00
Adtech Systems,544185,,INE257C01014,Industrial Manufacturing,Industrial Products,45.10,23.88,53.75,2.42,-0.52,-178.79,13.19,50.06,9.31,8.98,-51.09,-52.53,202606.00,1.89,-0.44,-1.42,29.68
Advent Hotels,544446,ADVENTHTL,INE28GN01010,Leisure Services,Hotels & Resorts,125.60,13.96,677.51,0.00,6.74,61.52,80.52,0.09,6.78,3.52,76.87,4.17,202606.00,7.01,1.14,,28.92
Afcons Infrastr.,544280,AFCONS,INE101I01011,Construction,Civil Construction,263.95,47.41,9707.70,0.74,30.30,-77.73,2671.00,-20.75,13.91,-11.87,-61.53,-28.13,202606.00,3.93,0.83,-48.33,100.00
Algoquant Fin,505725,ALGOQUANT,INE598D01035,Finance,Other Financial Services,64.50,40.52,1813.09,0.00,16.52,263.08,77.87,42.88,31.43,15.86,135.42,89.95,202606.00,1.59,0.59,119.82,32.42
Alkali Metals,533029,ALKALI,INE773I01017,Chemicals & Petrochemicals,Specialty Chemicals,72.87,68.71,74.22,1.35,-0.64,44.35,17.57,-14.75,8.67,1.93,176.06,122.83,202606.00,1.06,-0.63,-42.66,30.06
Amin Tannery,541771,,INE572Z01017,Consumer Durables,Leather And Leather Products,2.00,89.96,21.59,0.00,0.09,28.57,11.99,10.10,5.28,-15.94,-20.00,-29.90,202606.00,0.02,0.01,-15.14,50.84
Andhra Cements,532141,ACL,INE666E01020,Cement & Cement Products,Cement & Cement Products,42.67,,393.29,0.00,-35.93,-21.30,142.17,42.84,-6.01,56.40,51.63,176.38,202606.00,-7.97,-3.90,,31.67
ANG Lifesciences,540694,,INE236W01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,36.45,,47.60,0.00,-4.24,-110.95,15.30,-37.80,-3.64,-15.60,-17.36,-2437.50,202606.00,-10.20,-3.25,,44.88
Angel Fibers,541006,,INE339Z01011,Textiles & Apparels,Other Textile Products,10.50,20.51,26.25,0.00,-0.45,-125.14,101.04,1.23,10.40,5.33,-30.43,-2.86,202603.00,0.51,-0.18,31.16,28.71
Anmol India,542437,ANMOL,INE02AR01019,Consumable Fuels,Trading - Coal,15.71,7.83,89.42,0.00,6.00,4.90,455.72,-21.07,8.80,-2.63,32.26,-3.44,202606.00,2.02,1.05,-15.38,38.28
Annapurna Swadi.,,ANNAPURNA,INE0MGM01017,Food Products,Packaged Foods,137.60,8.85,300.22,0.00,9.81,50.00,126.76,17.49,12.36,27.50,55.39,53.54,202603.00,13.90,4.50,47.65,87.44
Ansal Properties,500013,ANSALAPI,INE436A01026,Realty,"Residential, Commercial Projects",3.49,,54.93,0.00,30.16,-121.82,16.77,-92.08,,-70.37,-577.88,-652.87,202512.00,-88.38,1.92,,72.38
Apollo Micro Sys,540879,APOLLO,INE713T01028,Aerospace & Defense,Aerospace & Defense,387.75,118.76,14408.82,0.06,25.21,45.38,251.29,88.12,14.47,69.08,82.52,56.28,202606.00,3.42,0.72,46.56,30.51
Aqylon Nexus,530943,AQYLON,INE416A01051,Entertainment,TV Broadcasting & Software Production,21.00,750.49,532.78,0.00,4.26,331.52,8.47,28133.33,131.18,328.51,149.31,2457.69,202606.00,0.47,0.17,22.93,96.64
Arshiya,506074,ARSHIYA,INE968D01022,Transport Services,Logistics Solution Provider,0.78,,20.54,0.00,-0.06,-101.15,4.50,0.00,,32.10,99.12,127.77,202512.00,-0.08,0.00,16.17,100.00
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,158.10,24.98,92865.58,2.13,667.77,0.78,13069.59,11.62,13.63,16.50,16.59,15.11,202606.00,5.92,1.05,44.91,40.10
AVG Logistics,543910,AVG,INE680Z01018,Transport Services,Logistics Solution Provider,174.00,27.61,325.52,0.69,6.01,21.91,130.78,5.06,9.20,1.80,-43.94,-14.77,202606.00,14.45,3.21,-0.47,66.71
B-Right Real,543543,,INE0IZQ01016,Realty,"Residential, Commercial Projects",935.00,27.96,965.97,0.00,33.43,2667.61,113.29,80.40,21.57,62.23,1172.86,402.22,202603.00,34.02,30.63,177.33,31.76
B.L.Kashyap,532719,BLKASHYAP,INE350H01032,Construction,Civil Construction,52.24,32.04,1177.72,0.00,10.00,-7.83,345.12,2.59,12.64,21.77,127.36,75.97,202606.00,0.03,0.44,-37.89,94.44
Bajaj Hindusthan,500032,BAJAJHIND,INE306A01021,Agricultural Food & other Products,Sugar,19.75,36.40,4721.62,0.00,-184.76,-6.39,1125.97,-9.81,3.11,-1.93,197.97,15.92,202606.00,0.17,-0.77,36.80,100.00
Bannari Amm Spg.,532674,BASML,INE186H01022,Textiles & Apparels,Other Textile Products,23.70,7.95,189.41,1.05,13.69,184.62,216.51,-0.40,6.80,-2.19,103.06,-2.65,202606.00,2.86,1.71,29.98,52.47
Bedmutha Indus.,533270,BEDMUTHA,INE844K01012,Industrial Products,Iron & Steel Products,104.00,20.08,335.55,0.00,6.92,309.70,541.43,74.32,13.99,51.93,45.64,99.13,202606.00,5.18,2.14,-19.67,94.99
BGR Energy Sys.,532930,BGRENERGY,INE661I01014,Construction,Civil Construction,224.00,,1616.43,0.00,-223.29,15.46,15.79,-82.18,-26.94,-38.23,-11.41,13.18,202606.00,-172.83,-31.06,,58.82
Bharat Wire,539799,BHARATWIRE,INE316L01019,Industrial Products,Iron & Steel Products,169.80,16.90,1167.92,0.00,12.23,-21.65,130.39,-7.95,12.31,-7.68,-1.24,-2.86,202606.00,10.07,1.78,4.80,51.00
Bharatiya Glob.,533499,BGLOBAL,INE224M01013,IT - Services,IT Enabled Services,3.08,1.53,4.88,0.00,-0.08,80.95,0.11,,-1.03,76.00,178.57,84.47,202606.00,2.01,-0.05,52.06,64.59
Bihar Sponge,500058,,INE819C01011,Ferrous Metals,Sponge Iron,12.82,9.90,115.63,0.00,2.48,16.98,0.00,-100.00,16.17,-42.68,32.39,20.06,202606.00,1.30,0.27,-1.22,52.05
Bluestone Jewel,544484,BLUESTONE,INE304W01038,Consumer Durables,"Gems, Jewellery And Watches",842.75,228.60,12875.42,0.00,5.96,120.16,736.85,49.56,6.78,40.02,128.59,247.55,202606.00,3.71,0.46,,37.21
Bodhi Tree,543767,BTML,INE0EEJ01023,Entertainment,Digital Entertainment,7.40,20.43,134.47,0.00,0.78,46.51,30.10,66.11,16.54,42.90,12.10,41.51,202606.00,0.36,0.03,24.69,55.87
