Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years,Profit growth 3Years
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,876.80,,4040.15,0.22,-47.56,-203.60,137.16,350.44,-3.70,384.84,-76.91,-25.59,202606.00,-14.15,-8.61,-23.40,-9.98,-23.40
7NR Retail Ltd,540615,,INE413X01035,Retailing,Speciality Retail,6.90,59.01,81.42,0.00,1.13,1127.27,2.85,-42.42,0.62,-52.88,91.67,-22.12,202606.00,0.49,0.40,-16.45,-35.76,-16.45
Abhinav Capital,532057,,INE516F01016,Finance,Non Banking Financial Company (NBFC),107.95,26.98,74.75,0.00,0.66,37.50,1.09,11.22,4.21,-6.18,74.21,-6.85,202606.00,4.00,0.95,-35.56,-31.18,-35.56
Accuracy Shippi.,544598,ACCURACY,INE648Z01023,Transport Services,Logistics Solution Provider,4.36,17.18,65.64,0.00,0.34,17.07,140.81,-12.91,6.98,-28.26,47.49,17.26,202606.00,0.25,0.03,-20.70,-8.56,-20.70
Acme Resources,539391,,INE636B01011,Finance,Non Banking Financial Company (NBFC),28.74,63.77,73.99,0.00,0.92,-22.69,1.95,-1.52,1.70,-19.34,-69.71,-110.37,202606.00,0.45,0.36,-51.46,-32.02,-51.46
Add-Shop E-Reta.,541865,,INE01B501018,Retailing,E-Retail/ E-Commerce,5.69,14.38,16.12,0.00,0.27,28.57,45.64,55.19,1.98,18.53,-52.74,-31.85,202606.00,0.40,0.10,-61.10,-7.74,-61.10
Adeshwar Meditex,543309,,INE0H8J01015,Healthcare Services,"Healthcare Research, Analytics & Technology",16.35,18.73,23.60,0.00,0.53,-60.45,26.05,-30.44,5.21,-32.98,-36.36,-37.33,202603.00,0.87,0.37,-15.25,-12.01,-15.25
Advance Meter.,534612,,INE436N01029,Power,Power Generation,17.56,,28.19,0.00,2.36,-2.07,4.21,-12.29,-8.22,-16.01,-12.69,-15.53,202606.00,-6.30,1.47,-22.92,-9.66,-22.92
Advance Multi.,526331,,INE875S01019,Industrial Products,Plastic Products - Industrial,59.49,3.94,24.25,0.00,4.28,1119.05,0.00,-100.00,12.40,-91.58,3142.11,-768.75,202606.00,15.11,10.50,-41.81,-53.57,-41.81
AG Ventures,506579,,INE321D01016,Chemicals & Petrochemicals,Commodity Chemicals,130.70,5.78,130.57,0.00,21.21,554.26,49.05,134.69,2.31,22.51,271.15,117.05,202606.00,22.64,20.74,-53.43,-41.44,-53.43
Agarwal Indl.,531921,AGARIND,INE204E01012,Chemicals & Petrochemicals,Petrochemicals,419.00,15.36,626.72,0.77,10.35,-20.57,433.31,-27.00,7.73,-34.70,-54.42,-37.69,202606.00,27.34,6.92,-23.41,-6.40,-23.41
Ahlada Engineers,,AHLADA,INE00PV01013,Consumer Durables,"Furniture, Home Furnishing",35.00,,45.21,4.57,0.17,-70.69,24.03,-12.07,2.69,-47.40,-107.29,-56.83,202606.00,-0.27,0.13,-67.18,-13.93,-67.18
Aik Pipes & Poly,544072,,INE0QFT01015,Industrial Products,Plastic Products - Industrial,29.97,211.90,19.07,0.00,0.83,1085.71,7.56,-18.09,2.94,-62.35,-92.97,-61.89,202603.00,0.14,1.30,-78.56,-32.32,-63.36
AKG Exim,,AKG,INE00Y801016,Commercial Services & Supplies,Trading & Distributors,10.40,89.29,33.05,0.00,0.09,12.50,20.72,-27.45,1.99,-35.36,-43.94,-60.00,202606.00,0.12,0.03,-48.07,-26.71,-48.07
Alfavision Overs,531156,,INE883B01027,Agricultural Food & other Products,Other Agricultural Products,13.39,422.11,42.22,0.00,0.04,-55.56,0.58,-56.39,0.08,-45.13,-28.57,-18.75,202606.00,0.03,0.01,-40.95,-59.88,-40.95
Allcargo Logist.,532749,ALLCARGO,INE418H01029,Transport Services,Logistics Solution Provider,11.80,38.39,1767.42,9.29,14.00,227.27,546.00,11.20,4.83,5.33,43.75,23.90,202606.00,0.33,0.09,-82.39,-51.51,-79.73
Amin Tannery,541771,,INE572Z01017,Consumer Durables,Leather And Leather Products,2.00,89.96,21.59,0.00,0.09,28.57,11.99,10.10,5.28,-15.94,-20.00,-29.90,202606.00,0.02,0.01,-15.14,-12.88,-15.14
Anjani Finance,531878,,INE283D01018,Finance,Non Banking Financial Company (NBFC),8.40,53.24,8.52,0.00,-0.01,0.00,0.11,-15.38,1.45,-14.04,-58.97,-31.03,202606.00,0.16,-0.01,-54.33,-28.12,-54.33
Antariksh Indus.,501270,,INE825M01017,Realty,"Residential, Commercial Projects",17.31,,0.35,2.89,-0.13,,0.00,-100.00,5.49,-95.46,-117.07,-108.93,202606.00,-3.45,-6.34,-32.45,-24.24,-31.90
Apollo Finvest,512437,,INE412D01013,Finance,Non Banking Financial Company (NBFC),538.90,25.17,201.14,0.00,3.35,45.02,8.47,62.57,11.57,-14.67,11.44,28.00,202606.00,21.41,8.97,-24.38,-22.45,-24.37
Apoorva Leasing,539545,APOORVA,INE217S01014,Finance,Other Financial Services,27.00,179.78,53.93,0.00,0.00,-100.00,0.12,-40.00,0.23,71.62,100.00,112.50,202606.00,0.15,0.00,-46.24,-35.67,-46.24
Archean Chemical,543657,ACI,INE128X01021,Chemicals & Petrochemicals,Specialty Chemicals,454.00,57.88,5605.01,0.53,30.36,-23.66,327.20,11.92,7.41,-0.43,-49.20,-29.00,202606.00,7.84,2.49,-35.34,-9.14,-35.27
Arihant's Secur.,531017,,INE190D01015,Commercial Services & Supplies,Diversified Commercial Services,20.37,46.33,10.19,0.00,0.09,-10.00,0.29,-3.33,0.83,-5.26,57.14,-20.00,202606.00,0.44,0.18,-25.67,-14.97,-25.67
Arvee Laborat.,,ARVEE,INE006Z01016,Chemicals & Petrochemicals,Specialty Chemicals,170.57,46.42,187.98,0.00,1.69,894.12,17.23,130.35,7.53,16.65,195.62,122.50,202606.00,3.68,1.53,-16.65,-19.92,-16.65
Ashnisha Indus.,541702,,INE694W01024,Commercial Services & Supplies,Trading & Distributors,2.35,366.52,62.33,0.00,0.04,-66.67,1.33,280.00,0.25,191.82,-29.17,57.49,202606.00,0.01,0.00,-35.18,-13.19,-34.75
Ashnoor Textile,507872,,INE372I01018,Textiles & Apparels,Other Textile Products,49.00,5.69,78.06,0.00,9.91,113.58,34.18,-14.21,7.24,-35.98,-13.86,-39.46,202606.00,8.62,6.22,-16.42,-13.73,-16.36
Asian Star Co.,531847,ASTAR,INE194D01017,Consumer Durables,"Gems, Jewellery And Watches",561.10,27.11,898.15,0.28,12.06,-37.69,638.31,-10.92,3.56,-3.75,-27.90,-26.34,202606.00,20.70,7.53,-22.55,-13.66,-22.55
Aspire & Innovat,,ASPIRE,INE0S7801010,Consumer Durables,Household Appliances,13.10,7.83,19.88,0.00,1.66,-4.05,116.24,73.83,7.11,5.56,-33.16,-40.42,202603.00,1.69,1.09,-67.18,-20.12,-21.55
Associated Cera.,531168,,INE771E01010,Other Construction Materials,Other Construction Materials,167.60,19.58,34.26,0.00,0.41,-45.21,9.06,-29.27,9.83,-11.22,1.16,-0.41,202606.00,8.61,2.01,-23.08,-7.33,-23.08
Auto Pins (I),531994,,INE706C01028,Auto Components,Auto Components & Equipments,155.50,286.27,88.74,0.00,0.06,200.00,10.74,9.59,6.77,-12.19,6.90,-8.03,202606.00,0.54,0.11,-31.77,-6.29,-31.77
Axita Cotton,542285,AXITA,INE02EZ01022,Textiles & Apparels,Other Textile Products,8.01,78.79,306.52,0.63,3.59,122.98,58.28,-62.81,6.32,-58.44,370.14,164.14,202606.00,0.10,0.09,-51.79,-12.24,-51.87
Balaji Amines,530999,BALAMINES,INE050E01027,Chemicals & Petrochemicals,Specialty Chemicals,2127.90,33.73,6894.58,0.49,78.12,97.21,455.93,27.23,11.02,11.08,34.10,47.96,202606.00,63.00,23.13,-19.82,-15.42,-19.82
Balaxi Pharma,,BALAXI,INE618N01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,23.45,53.30,129.45,0.00,1.30,348.28,80.68,14.05,3.11,-5.90,-87.13,-71.14,202606.00,0.44,0.24,-69.46,-7.05,-68.62
Benara Bearings,541178,,INE495Z01011,Industrial Manufacturing,Industrial Products,9.93,,17.58,0.00,-9.81,-74.56,1.42,-75.89,-36.70,-68.32,41.02,1.40,202603.00,-9.10,-5.54,-63.04,-43.97,-63.04
Beryl Drugs,524606,,INE415H01017,Pharmaceuticals & Biotechnology,Pharmaceuticals,23.24,19.01,11.77,0.00,0.22,1000.00,7.57,56.73,7.18,4.55,169.57,14.55,202606.00,1.22,0.43,-18.29,-10.39,-18.29
Best Agrolife,539660,BESTAGRO,INE052T01021,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,18.54,22.22,657.60,0.53,40.65,104.07,396.20,3.92,5.15,-24.14,-56.81,-31.06,202606.00,0.83,1.15,-64.65,-10.38,-64.66
Bhanderi Infra.,538576,,INE336Q01016,Realty,"Residential, Commercial Projects",125.00,162.30,32.46,0.00,0.03,-105.62,2.88,-41.10,0.92,-25.19,-84.50,-38.39,202603.00,0.77,-0.19,-29.88,-14.54,-29.88
Bharat Immunolog,524663,,INE994B01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,14.91,,64.37,0.00,-4.92,-59.74,0.00,-100.00,-9.27,-89.99,-42.40,-77.66,202309.00,-4.18,-1.14,-30.96,-12.61,-30.96
Bindal Exports L,540148,,INE564V01013,Consumer Durables,"Gems, Jewellery And Watches",27.80,45.68,12.79,0.00,0.04,-42.86,9.73,-23.02,3.85,-16.81,47.37,-36.25,202603.00,0.61,0.09,-12.64,-17.94,-12.64
Bombay Talkies,511246,,INE910D01024,Entertainment,"Film Production, Distribution & Exhibition",3.10,,16.74,0.00,-0.06,14.29,0.07,-12.50,-3.68,-26.32,-6.67,-7.14,202606.00,-0.03,-0.01,-51.93,-47.16,-51.93
Capital India,530879,CIFL,INE345H01024,Finance,Non Banking Financial Company (NBFC),19.88,,777.40,0.10,-9.63,-12.35,127.74,4.16,1.17,-1.50,-1938.07,-56.85,202606.00,0.99,-0.08,-13.19,-7.17,-13.55
Chembond Materi.,530871,CHEMBOND,INE995D01025,Chemicals & Petrochemicals,Specialty Chemicals,196.05,17.46,263.65,1.03,5.73,43.61,72.42,25.55,10.76,24.49,-3.14,29.07,202606.00,10.92,4.28,-15.67,-17.17,-15.67
Chemcon Special.,543233,CHEMCON,INE03YM01018,Chemicals & Petrochemicals,Specialty Chemicals,205.25,26.69,751.86,3.15,10.96,71.52,66.49,24.23,6.35,17.43,10.56,13.37,202606.00,7.69,2.99,-24.92,-7.47,-24.92
Chemcrux Enterp.,540395,CHEMCRUX,INE298W01016,Chemicals & Petrochemicals,Specialty Chemicals,80.00,28.55,118.48,1.25,0.51,466.67,21.94,32.97,6.43,24.03,49.82,38.79,202606.00,2.80,0.34,-45.48,-5.36,-45.48
Cindrella Fin.,531283,,INE897D01015,Finance,Non Banking Financial Company (NBFC),9.98,34.58,4.15,0.00,0.03,200.00,0.01,133.33,0.46,21.05,33.33,75.00,202606.00,0.29,0.07,-62.93,-43.00,-62.93
Cochin Minerals,513353,,INE105D01013,Chemicals & Petrochemicals,Specialty Chemicals,303.95,9.68,237.97,2.63,12.38,278.59,131.26,75.53,14.19,13.18,17.59,24.69,202606.00,27.61,15.81,-34.58,-12.74,-34.58
Cons. Finvest,,CONSOFINVT,INE025A01027,Finance,Non Banking Financial Company (NBFC),300.20,17.84,971.59,0.37,13.00,2.69,15.38,3.71,5.65,-7.20,-44.44,-2.26,202606.00,16.82,4.02,-44.29,-46.94,-44.29
COSYN,538922,,INE029B01019,IT - Software,Software Products,23.49,146.83,17.62,0.00,0.04,0.00,1.06,49.30,2.27,-7.11,-25.00,261.11,202606.00,0.16,0.05,-23.94,-9.83,-23.94
Country Condo,531624,COUNCODOS,INE695B01025,Realty,"Residential, Commercial Projects",6.39,79.98,49.58,0.00,0.16,14.29,4.10,15.82,3.42,12.40,14.81,14.44,202606.00,0.08,0.02,-10.02,-6.08,-10.02
Crest Ventures,511413,CREST,INE559D01011,Finance,Non Banking Financial Company (NBFC),343.55,29.62,977.40,0.29,11.46,-54.98,30.24,-52.08,5.67,-33.55,-48.81,-41.92,202606.00,11.60,3.99,-50.90,-37.46,-50.90
Croissance Ltd,531909,,INE587J01027,Realty,"Residential, Commercial Projects",1.15,196.96,7.88,0.00,0.00,-100.00,0.03,,0.84,510.00,,-133.33,202606.00,0.00,0.00,-53.27,-38.32,-53.27
