Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Promoter holding,Pledged percentage
Arshiya,506074,ARSHIYA,INE968D01022,Transport Services,Logistics Solution Provider,0.78,,20.54,0.00,-0.06,-101.15,4.50,0.00,,32.10,99.12,127.77,202512.00,-0.08,0.00,16.17,14.37,100.00
Bajaj Hindusthan,500032,BAJAJHIND,INE306A01021,Agricultural Food & other Products,Sugar,19.75,36.40,4721.62,0.00,-184.76,-6.39,1125.97,-9.81,3.11,-1.93,197.97,15.92,202606.00,0.17,-0.77,36.80,13.33,100.00
Bluestone Jewel,544484,BLUESTONE,INE304W01038,Consumer Durables,"Gems, Jewellery And Watches",842.75,228.60,12875.42,0.00,5.96,120.16,736.85,49.56,6.78,40.02,128.59,247.55,202606.00,3.71,0.46,,16.25,37.21
Constronics,523844,,INE537B01011,Commercial Services & Supplies,Trading & Distributors,49.50,24.72,62.02,0.00,0.70,-30.00,9.57,-24.88,7.90,-4.63,-9.90,-25.00,202606.00,2.00,0.56,,10.63,99.99
Diamant Infra.,508860,,INE206I01026,Construction,Civil Construction,0.78,,2.75,0.00,0.04,300.00,0.00,,0.15,,-100.00,42.86,202606.00,0.00,0.01,7.72,18.32,77.52
Dish TV India,532839,DISHTV,INE836F01026,Entertainment,TV Broadcasting & Software Production,2.64,,486.10,0.00,-286.30,-202.87,265.83,-19.29,,-23.76,-248.87,-143.08,202606.00,-5.43,-1.55,,4.23,11.16
Esaar (India),531502,,INE404L01039,Commercial Services & Supplies,Diversified Commercial Services,12.13,3.26,97.53,0.00,1.65,109.64,6.29,220.92,30.86,321.33,243.75,198.75,202606.00,3.72,0.21,35.48,10.05,41.14
Family Care,516110,,INE146N01016,Healthcare Services,Healthcare Service Provider,2.01,,10.88,0.00,-0.42,40.00,0.05,150.00,-23.20,-93.92,-113.98,-111.40,202606.00,-1.56,-0.08,,17.47,65.47
Gokaldas Exports,532630,GOKEX,INE887G01027,Textiles & Apparels,Garments & Apparels,747.70,53.22,5478.98,0.00,44.30,6.82,1153.51,20.69,7.65,7.65,-40.43,-5.78,202606.00,14.05,6.05,-29.72,9.15,96.28
Hind.Construct.,500185,HCC,INE549A01026,Construction,Civil Construction,21.47,41.51,5623.94,0.00,51.08,0.69,993.42,-8.97,24.85,-20.64,366.39,-22.23,202606.00,0.63,0.20,33.54,16.18,82.43
IndusInd Bank,532187,INDUSINDBK,INE095A01012,Banks,Private Sector Bank,960.90,56.70,74868.06,0.15,1037.05,71.68,11309.94,-7.78,5.68,-6.38,31.08,-8.05,202606.00,16.97,13.31,-50.81,15.82,42.78
Inland Printers,530787,,INE055O01033,Printing & Publication,Printing & Publication,78.68,,38.89,0.00,-0.10,-11.11,0.00,,-8.82,,-5.56,-12.00,202606.00,-0.77,-0.20,-31.73,16.94,20.00
Jet Solar,538794,,INE155R01018,Realty,"Residential, Commercial Projects",6.90,,8.19,0.00,0.02,112.50,0.20,253.85,-4.62,1.85,-2425.00,-129.23,202603.00,0.03,0.02,,12.55,13.42
Max Financial,500271,MFSL,INE180A01020,Insurance,Life Insurance,1444.80,459.50,49862.18,0.00,118.29,36.38,14969.51,16.75,2.87,4.91,-60.13,-35.08,202606.00,3.18,2.77,-40.40,1.25,26.92
Pro Fin Capital,511557,,INE732K01027,Commercial Services & Supplies,Diversified Commercial Services,2.49,,147.58,0.00,2.51,-1.18,36.76,249.43,-0.08,-1654.14,92.35,56.20,202606.00,-0.04,0.04,,3.86,33.28
SEPC,532945,SEPC,INE964H01014,Construction,Civil Construction,5.15,36.69,986.24,0.00,-11.05,-166.77,273.80,35.36,5.03,80.42,-41.59,21.89,202606.00,0.14,-0.06,35.76,11.67,79.36
SGL Resources,526544,SGLRES,INE967B01028,IT - Services,IT Enabled Services,2.38,,59.62,0.00,-0.68,-2166.67,1.36,-71.19,0.07,-11.69,-160.44,-190.12,202606.00,-0.02,-0.03,-27.60,6.90,17.94
Supertex Inds.,526133,,INE881B01054,Textiles & Apparels,Other Textile Products,5.62,8.39,6.38,0.00,0.23,162.16,5.10,-37.65,5.53,-14.29,290.00,50.68,202606.00,0.67,0.20,47.36,13.29,32.66
Tricom Fruit,531716,,INE843F01014,Food Products,Other Food Products,1.22,,2.34,0.00,-0.07,,0.00,,,,,,202603.00,-0.07,-0.04,,12.61,62.69
Vikas Wsp,519307,VIKASWSP,INE706A01022,Agricultural Food & other Products,Other Agricultural Products,0.86,,17.59,0.00,-0.30,96.58,0.00,,-10.14,,-119.68,-6435.98,202606.00,-2.86,-0.01,,14.56,56.92
Vipul Ltd,511726,VIPULLTD,INE946H01037,Realty,"Residential, Commercial Projects",13.51,,190.44,0.00,1.21,-67.56,9.19,-18.38,-0.44,-19.72,-116.05,-257.11,202512.00,-1.98,0.09,11.57,18.25,30.71
Visagar Polytex,506146,VIVIDHA,INE370E01029,Textiles & Apparels,Garments & Apparels,0.54,,15.79,0.00,-0.39,35.00,0.23,109.09,-17.81,118.18,27.72,34.57,202606.00,-0.05,-0.01,-3.45,5.63,83.69
Vivimed Labs.,532660,VIVIMEDLAB,INE526G01021,Pharmaceuticals & Biotechnology,Pharmaceuticals,5.91,,49.00,0.00,-147.12,-2527.14,12.00,-53.14,-65.22,-39.80,-452.16,-1071.64,202603.00,-21.28,-17.74,13.52,7.57,15.18
Zee Learn,533287,ZEELEARN,INE565L01011,Other Consumer Services,Education,6.80,8.30,222.83,0.00,8.42,313.62,93.32,17.92,12.64,9.62,33.56,-2.92,202606.00,1.38,0.26,36.16,14.98,29.16
