Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7073.55,97.26,149894.37,0.55,362.30,8.03,3558.87,21.03,29.93,10.22,-13.03,-12.75,202606.00,141.00,17.10,29.76,15.51
Aastha Spintex,544808,AASTHA,INE2FMX01012,Textiles & Apparels,Other Textile Products,76.87,13.82,339.32,0.13,3.09,35.53,77.47,-15.71,18.98,26.05,1.02,6.62,202603.00,7.50,0.98,168.38,22.76
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,688.50,37.64,1651.64,0.14,25.79,55.36,209.67,51.34,24.88,31.92,32.67,35.27,202603.00,18.28,10.75,30.31,20.95
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1729.70,30.12,398515.77,0.43,3649.50,9.23,10820.80,18.57,14.12,23.85,16.78,18.95,202606.00,57.81,15.71,24.55,22.93
Adisoft Technol.,,ADISOFT,INE20PL01012,Industrial Manufacturing,Industrial Products,225.00,16.03,367.17,0.00,17.59,84.00,117.46,46.40,38.00,26.34,42.33,38.56,202603.00,19.09,14.65,-85.36,30.12
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,3690.00,91.50,43652.84,0.04,142.20,332.48,1402.42,89.51,28.56,51.85,214.81,164.95,202606.00,40.56,12.07,-61.54,22.71
Aditya Vision,540205,AVL,INE679V01027,Retailing,Speciality Retail,614.20,56.60,7931.64,0.20,77.22,39.99,1192.68,26.85,17.08,26.52,30.26,25.87,202606.00,10.77,5.98,20.04,26.42
Advit Jewels,544803,RAMBHAJO,INE1SJO01012,Consumer Durables,"Gems, Jewellery And Watches",255.90,32.00,1172.31,0.00,8.19,37.88,35.32,37.06,32.17,33.39,35.51,32.49,202603.00,10.74,1.79,-89.89,52.92
Affle 3i,542752,AFFLE,INE00WC01027,IT - Services,IT Enabled Services,1537.30,45.29,21662.79,0.00,128.44,21.74,747.16,20.37,16.84,19.78,19.21,23.06,202606.00,33.95,9.12,20.74,23.63
Ajmera Realty,513349,AJMERA,INE298G01035,Realty,"Residential, Commercial Projects",113.25,14.37,2228.69,0.85,44.94,12.49,316.97,22.65,14.28,43.14,16.39,27.30,202606.00,7.85,2.19,23.58,36.25
