Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Average return on capital employed 3Years
Affle 3i,542752,AFFLE,INE00WC01027,IT - Services,IT Enabled Services,1537.35,45.29,21663.49,0.00,128.44,21.74,747.16,20.37,16.84,19.78,19.21,23.06,202606.00,33.95,9.12,20.74,16.64
AGI Greenpac,500187,AGI,INE415A01038,Industrial Products,Packaging,744.00,13.07,4813.48,0.92,99.58,12.08,785.27,14.19,19.54,4.26,5.74,1.43,202606.00,56.10,15.39,10.70,19.06
Antelopus Selan,530075,ANTELOPUS,INE818A01017,Oil,Oil Exploration & Production,1085.00,27.26,3815.17,0.00,54.32,450.71,131.04,158.82,19.92,46.50,119.13,70.54,202606.00,37.74,15.45,7.88,17.51
Apcotex Industri,523694,APCOTEXIND,INE116A01032,Industrial Products,Rubber,579.10,18.65,3002.34,1.39,78.94,312.00,525.63,39.88,19.80,11.17,175.58,94.45,202606.00,31.09,15.23,-2.37,15.36
Asian Energy,530355,ASIANENE,INE276G01015,Oil,Oil Equipment & Services,486.70,36.61,2367.69,0.23,12.76,115.50,271.19,135.06,16.51,82.01,41.59,47.22,202606.00,12.62,2.46,48.53,15.21
ASM Technologies,526433,,INE867C01010,IT - Software,Computers - Software & Consulting,6515.00,130.09,9503.26,0.23,26.82,72.25,198.82,61.75,26.95,68.31,86.64,74.45,202606.00,49.37,18.39,70.49,14.96
AWL Agri Busine.,543458,AWL,INE699H01024,Agricultural Food & other Products,Edible Oil,181.00,19.97,23524.23,0.54,351.39,48.15,20048.14,17.52,18.28,16.72,2.28,10.67,202606.00,8.89,2.70,21.96,16.29
Banco Products,500039,BANCOINDIA,INE213C01025,Auto Components,Auto Components & Equipments,590.05,17.53,8439.94,3.86,122.38,11.74,1183.90,22.04,30.91,21.65,11.39,7.90,202606.00,34.57,8.56,24.01,30.08
Bharat Seats,523229,BHARATSE,INE415D01024,Auto Components,Auto Components & Equipments,210.00,27.93,1318.80,0.68,13.21,43.90,577.83,35.30,20.19,48.32,34.03,30.97,202606.00,7.37,2.10,26.20,17.03
Borosil Renew.,502219,BORORENEW,INE666D01022,Industrial Products,Glass - Industrial,465.35,17.03,6849.18,0.00,87.71,156.91,405.69,22.10,26.62,33.98,463.85,127.47,202606.00,27.33,6.25,56.78,10.91
C P C L,500110,CHENNPETRO,INE178A01016,Petroleum Products,Refineries & Marketing,1483.30,5.26,22087.98,4.11,1031.35,2671.95,27369.27,84.77,34.94,33.51,2379.87,1278.86,202606.00,280.30,69.26,-4.50,24.83
Campus Activewe.,543523,CAMPUS,INE278Y01022,Consumer Durables,Footwear,208.90,41.45,6385.63,0.70,26.14,17.75,385.20,12.21,21.22,13.71,30.53,23.33,202606.00,5.04,0.86,8.57,19.34
Carraro India,544320,CARRARO,INE0V7W01012,Auto Components,Auto Components & Equipments,521.75,21.73,2966.24,1.27,30.65,7.51,540.17,10.42,28.25,26.42,56.21,27.65,202606.00,22.89,5.39,42.67,22.79
Cemindia Project,509496,CEMPRO,INE686A01026,Construction,Civil Construction,1222.00,34.93,20992.42,0.24,140.83,2.62,2720.92,5.61,32.76,8.91,46.85,19.43,202606.00,35.02,8.20,68.21,29.27
Corona Remedies,544644,CORONA,INE02ZQ01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,2233.50,64.47,13660.10,0.45,60.10,29.53,422.43,21.90,33.29,18.16,27.94,21.73,202606.00,32.46,9.83,33.13,29.89
Cummins India,500480,CUMMINSIND,INE298A01020,Industrial Products,"Compressors, Pumps & Diesel Engines",4916.25,55.87,136278.41,1.31,609.30,2.54,3426.01,17.86,39.50,15.30,14.45,16.02,202606.00,85.40,21.98,26.30,36.83
Deep Industries,543288,DEEPINDS,INE0FHS01024,Oil,Oil Equipment & Services,732.70,11.34,4689.28,0.32,89.14,45.12,278.92,39.81,16.47,48.75,132.59,45.47,202606.00,32.26,13.34,62.00,12.93
Dynamic Cables,540795,DYCL,INE600Y01019,Industrial Products,Cables - Electricals,435.30,23.11,2109.38,0.11,24.95,37.01,349.10,33.22,26.21,19.10,27.67,27.33,202606.00,18.82,5.15,34.48,25.30
eClerx Services,532927,ECLERX,INE738I01010,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),1896.10,24.44,17832.93,0.05,164.24,15.99,1152.36,23.31,34.42,23.20,27.61,26.58,202606.00,77.23,17.47,14.41,31.38
Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles,2/3 Wheelers,7460.00,35.17,204793.23,1.09,1462.51,21.35,6632.42,31.55,30.53,28.07,20.22,29.97,202606.00,210.41,53.28,23.90,30.49
Endurance Tech.,540153,ENDURANCE,INE913H01037,Auto Components,Auto Components & Equipments,2633.40,37.71,37042.21,0.44,244.52,8.03,4314.89,30.01,17.80,29.35,15.93,26.94,202606.00,68.95,17.38,25.59,17.22
Force Motors,500033,FORCEMOT,INE451A01017,Automobiles,Passenger Cars & Utility Vehicles,17285.95,20.69,22776.44,0.28,216.59,22.82,2440.01,6.21,36.05,8.44,82.00,27.39,202606.00,950.08,164.36,209.44,29.95
Gallantt Ispat L,532726,GALLANTT,INE297H01019,Industrial Products,Iron & Steel Products,538.25,29.79,12986.95,0.37,123.67,-28.84,1145.67,1.59,18.16,4.13,-3.72,-9.91,202606.00,18.06,5.13,50.59,16.44
