Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Profit growth 3Years,Sales growth 3Years
A C J K Exports,544743,AEROPLANE,INE05TO01019,Agricultural Food & other Products,Other Agricultural Products,197.70,16.52,2047.19,0.00,36.63,127.52,663.73,55.10,15.70,14.51,72.25,37.62,202606.00,13.59,3.54,-31.41,83.17,20.37
Aastha Spintex,544808,AASTHA,INE2FMX01012,Textiles & Apparels,Other Textile Products,76.87,13.82,339.32,0.13,3.09,35.53,77.47,-15.71,18.98,26.05,1.02,6.62,202603.00,7.50,0.98,168.38,181.88,22.76
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,688.50,37.64,1651.64,0.14,25.79,55.36,209.67,51.34,24.88,31.92,32.67,35.27,202603.00,18.28,10.75,30.31,53.07,20.95
Adisoft Technol.,,ADISOFT,INE20PL01012,Industrial Manufacturing,Industrial Products,225.00,16.03,367.17,0.00,17.59,84.00,117.46,46.40,38.00,26.34,42.33,38.56,202603.00,19.09,14.65,-85.36,55.66,30.12
Advait Energy,543230,ADVAIT,INE0ALI01010,Electrical Equipment,Other Electrical Equipment,2009.35,38.07,2198.84,0.10,14.80,65.95,179.27,51.37,27.91,69.89,70.61,67.31,202606.00,52.79,12.69,78.76,82.99,89.99
Aegis Vopak Term,544407,AEGISVOPAK,INE0INX01018,Oil,Oil Storage & Transportation,300.95,123.15,33345.01,0.07,69.42,-6.96,233.77,12.39,7.56,26.06,42.89,27.92,202606.00,2.44,0.60,76.55,1471.83,37.73
Aelea Commoditi.,544213,,INE0T3401029,Agricultural Food & other Products,Other Agricultural Products,150.00,14.35,305.54,0.00,12.61,583.14,207.81,120.14,18.84,109.45,695.15,395.18,202603.00,10.47,6.19,-86.01,123.45,51.85
Airfloa Rail,544516,,INE0XBS01012,Industrial Manufacturing,Industrial Products,530.00,32.45,1270.40,0.00,27.07,68.77,229.06,113.54,25.87,66.12,53.53,33.04,202603.00,16.33,11.29,76.25,197.29,49.75
Algoquant Fin,505725,ALGOQUANT,INE598D01035,Finance,Other Financial Services,64.46,40.49,1811.97,0.00,16.52,263.08,77.87,42.88,31.43,15.86,135.42,89.95,202606.00,1.59,0.59,119.82,136.18,159.59
Alpex Solar,,ALPEXSOLAR,INE0R4701017,Electrical Equipment,Other Electrical Equipment,923.95,11.76,2360.06,0.00,39.87,-5.72,503.42,32.37,43.53,116.51,60.98,80.16,202606.00,78.33,15.61,,276.44,125.19
Anand Rathi Shar,544530,ARSSBL,INE549H01021,Capital Markets,Stockbroking & Allied,482.50,20.65,3042.91,1.02,23.51,67.57,245.68,22.22,19.82,17.09,53.07,29.85,202606.00,21.02,3.73,2.76,50.01,25.81
Anant Raj,515055,ANANTRAJ,INE242C01024,Realty,"Residential, Commercial Projects",586.70,36.46,21113.97,0.17,149.19,18.88,631.40,6.58,12.07,16.97,25.67,27.63,202606.00,16.26,4.16,48.33,53.60,37.94
Annu Projects,544893,ANNU,INE103001017,Construction,Civil Construction,55.57,11.03,363.94,0.00,,,,,28.63,33.98,60.30,54.81,202603.00,6.91,,-36.68,65.63,23.23
Arkade,544261,ARKADE,INE0QRL01017,Realty,"Residential, Commercial Projects",117.85,12.34,2188.01,0.82,19.08,-33.66,146.97,-7.83,18.92,12.10,14.29,-7.89,202606.00,-0.23,1.03,-66.26,52.76,54.78
Arvind SmartSp.,539301,ARVSMART,INE034S01021,Realty,"Residential, Commercial Projects",562.00,14.01,2579.41,0.40,97.39,785.60,317.63,212.14,12.37,5.31,55.16,58.97,202606.00,40.17,21.59,50.93,51.54,30.14
Ashiana Housing,523716,ASHIANA,INE365D01021,Realty,"Residential, Commercial Projects",341.00,28.99,3427.90,0.72,13.11,3.07,107.44,-63.30,14.03,37.13,195.43,256.52,202606.00,11.77,1.30,61.49,60.53,40.78
Asian Energy,530355,ASIANENE,INE276G01015,Oil,Oil Equipment & Services,486.70,36.61,2367.69,0.23,12.76,115.50,271.19,135.06,16.51,82.01,41.59,47.22,202606.00,12.62,2.46,48.53,51.93,93.05
ASM Technologies,526433,,INE867C01010,IT - Software,Computers - Software & Consulting,6515.00,130.09,9503.26,0.23,26.82,72.25,198.82,61.75,26.95,68.31,86.64,74.45,202606.00,49.37,18.39,70.49,87.31,33.85
Augmont Enterpri,544888,AUGMONT,INE16W401027,Non - Ferrous Metals,Precious Metals,833.40,22.84,7615.10,0.00,,,,,68.52,42.21,53.51,26.85,202603.00,39.99,,-23.46,102.63,45.60
Authum Invest,539177,AIIL,INE206F01022,Finance,Non Banking Financial Company (NBFC),531.05,21.58,45098.09,0.02,1114.81,18.43,1448.22,19.65,13.63,-36.77,-48.91,-39.24,202606.00,24.65,13.13,99.92,99.92,89.07
Azad Engineering,544061,AZAD,INE02IJ01035,Electrical Equipment,Heavy Electrical Equipment,2743.10,127.49,17715.43,0.00,35.16,20.29,172.60,25.90,11.92,28.72,39.10,35.46,202606.00,21.52,5.54,-26.24,150.34,33.81
Balu Forge,531112,BALUFORGE,INE011E01029,Industrial Products,Castings & Forgings,499.50,22.63,6063.49,0.03,66.09,15.89,300.71,28.95,22.72,19.70,18.18,11.37,202606.00,22.75,5.44,65.90,88.04,50.22
