Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Average return on capital employed 5Years
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,32540.05,67.64,36672.65,0.48,215.34,159.73,1399.24,16.78,50.05,14.49,13.90,28.07,202603.00,463.66,191.16,9.25,33.32
Anthem Bioscienc,544449,ANTHEM,INE0CZ201020,Pharmaceuticals & Biotechnology,Biotechnology,746.15,68.99,42022.80,0.26,189.76,128.88,610.94,26.44,30.45,15.17,34.89,24.17,202603.00,10.54,3.38,21.56,32.33
Atlanta Electric,544527,ATLANTAELE,INE0Z4F01028,Electrical Equipment,Heavy Electrical Equipment,1996.00,75.72,15348.60,0.00,102.19,129.07,747.62,81.69,45.26,48.81,70.85,77.95,202603.00,26.24,13.29,-24.46,46.93
Bikaji Foods,543653,BIKAJI,INE00E101023,Food Products,Packaged Foods,650.00,62.33,16297.87,0.15,56.04,26.14,720.88,17.99,19.74,14.19,29.82,24.56,202603.00,10.30,2.25,23.81,19.57
Caplin Point Lab,524742,CAPLIPOINT,INE475E01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,2040.50,24.24,15510.19,0.29,172.88,19.32,600.16,19.45,24.63,12.89,19.59,16.90,202603.00,84.36,22.38,19.52,26.29
Coal India,533278,COALINDIA,INE522F01014,Consumable Fuels,Coal,469.20,9.35,289155.21,5.61,10907.79,12.86,46490.03,22.91,35.34,17.46,-12.06,-12.37,202603.00,50.46,17.59,-0.69,55.63
Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles,2/3 Wheelers,7195.00,35.54,197369.09,0.98,1519.95,11.58,6080.09,16.01,30.52,24.04,17.25,22.50,202603.00,201.06,55.41,23.89,27.42
Force Motors,500033,FORCEMOT,INE451A01017,Automobiles,Passenger Cars & Utility Vehicles,19091.00,23.72,25154.77,0.21,278.54,56.59,2549.84,8.23,36.08,12.21,91.93,35.00,202603.00,919.55,211.38,221.39,18.25
GE Vernova T&D,522275,GVT&D,INE200A01026,Electrical Equipment,Heavy Electrical Equipment,4966.15,99.40,127158.24,0.10,351.77,86.32,1637.08,42.04,76.43,44.59,110.26,102.57,202603.00,48.17,13.74,489.65,30.61
HBL Engineering,517271,HBLENGINE,INE292B01021,Industrial Products,Other Industrial Products,814.50,26.90,22577.51,0.24,63.73,44.18,604.12,27.03,58.45,67.89,201.21,183.37,202603.00,29.40,2.30,104.73,29.77
