Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Average return on capital employed 3Years
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,441.95,24.17,1060.19,0.23,25.79,55.36,209.67,51.34,24.88,26.50
Advait Energy,543230,ADVAIT,INE0ALI01010,Industrial Products,Cables - Electricals,2036.40,43.09,2228.43,0.09,19.08,55.55,228.20,18.04,27.91,30.67
Amal,506597,,INE841D01013,Chemicals & Petrochemicals,Specialty Chemicals,550.25,30.40,680.26,0.18,1.90,-71.98,75.74,94.40,26.05,22.98
ANB Metal,,AMCL,INE0VG001016,Industrial Products,"Aluminium, Copper & Zinc Products",478.70,26.40,566.53,0.00,12.97,199.54,137.39,115.08,29.63,29.98
Arkade,544261,ARKADE,INE0QRL01017,Realty,"Residential, Commercial Projects",113.91,11.50,2114.89,0.88,-109.57,118.04,196.58,49.55,19.12,31.54
Arrow Greentech,516064,ARROWGREEN,INE570D01018,Industrial Products,Packaging,530.55,16.91,800.49,0.75,7.44,-35.31,41.78,-27.07,30.45,39.67
Australian Prem,,APS,INE0P0001010,Electrical Equipment,Heavy Electrical Equipment,320.70,11.44,646.53,0.03,28.39,8.94,388.18,43.96,55.94,49.99
Axis Solution,511144,,INE520G01024,IT - Software,Computers - Software & Consulting,251.35,40.88,1187.89,0.20,15.72,10.47,116.47,18.14,23.07,28.61
Balu Forge,531112,BALUFORGE,INE011E01029,Industrial Products,Castings & Forgings,475.90,22.58,5777.04,0.03,71.09,20.47,311.11,21.63,31.26,29.34
BLS Internat.,540073,BLS,INE153T01027,Leisure Services,"Tour, Travel Related Services",260.90,15.64,10742.32,0.77,186.90,31.57,814.56,17.58,29.34,31.33
Bondada Engineer,543971,,INE0Q8P01029,Telecom - Services,Telecom - Infrastructure,330.10,18.12,3686.28,0.03,62.88,11.39,913.85,27.93,38.66,37.61
Borana Weaves,544404,BORANA,INE16SF01016,Textiles & Apparels,Other Textile Products,323.20,13.32,861.18,0.00,17.21,57.89,100.73,27.99,32.74,36.50
Canara Robeco,544580,CRAMC,INE218I01013,Capital Markets,Asset Management Company,245.80,24.05,4901.68,0.61,41.36,-0.89,103.63,2.81,40.11,45.35
Captain Techno.,540652,,INE931X01010,Industrial Manufacturing,Industrial Products,230.00,45.96,534.06,0.00,5.73,10.62,67.39,31.57,29.73,26.30
CFF Fluid,543920,,INE0NJ001013,Aerospace & Defense,Aerospace & Defense,720.05,38.53,1510.24,0.14,20.07,104.80,104.61,59.64,23.47,23.21
Chandan Healthca,,CHANDAN,INE0B2N01016,Healthcare Services,Healthcare Service Provider,243.35,20.35,595.04,0.00,6.92,23.59,75.58,20.64,23.27,29.70
Crizac,544439,CRIZAC,INE0S4R01014,Retailing,Internet & Catalogue Retail,215.86,17.24,3777.17,3.71,74.50,50.26,391.73,15.02,52.34,64.37
Danish Power,,DANISH,INE0YU901016,Electrical Equipment,Heavy Electrical Equipment,828.35,23.30,1631.15,0.00,41.17,9.23,309.84,18.61,23.75,44.77
DOMS Industries,544045,DOMS,INE321T01012,Household Products,Stationary,2185.10,57.61,13261.01,0.14,58.20,17.13,603.98,18.72,24.33,27.06
Dynacons Sys.,532365,DSSL,INE417B01040,IT - Services,IT Enabled Services,1745.90,26.53,2223.77,0.03,23.45,28.07,339.65,9.95,39.17,39.94
Dynamic Cables,540795,DYCL,INE600Y01019,Industrial Products,Cables - Electricals,317.50,18.22,1538.56,0.08,24.17,2.59,355.46,7.33,26.69,25.72
Eco Recyc.,530643,,INE316A01038,Other Utilities,Waste Management,484.65,40.45,935.22,0.00,7.14,267.79,18.61,90.48,29.97,33.41
Enviro Infra,544290,EIEL,INE0LLY01014,Other Utilities,Water Supply & Management,190.02,17.62,3335.42,0.00,54.39,-28.86,427.31,8.75,20.39,33.13
EPack PrefabTech,544540,EPACKPEB,INE0MLS01022,Industrial Manufacturing,Industrial Products,178.04,19.34,1791.60,0.00,30.29,51.30,470.80,42.41,21.71,24.27
Exhicon Events,543895,,INE0O8901016,Other Consumer Services,Other Consumer Services,441.35,16.01,651.72,0.03,23.13,22.08,100.09,23.75,29.49,33.19
Frontier Springs,522195,FRONTSP,INE572D01014,Auto Components,Auto Components & Equipments,1584.00,30.53,1871.58,0.04,16.59,42.28,82.54,17.78,50.92,37.66
Fujiyama Power,544613,UTLSOLAR,INE12UR01024,Electrical Equipment,Other Electrical Equipment,319.95,32.29,9819.32,0.00,106.32,107.49,900.77,87.52,34.95,31.54
Gala Precis. Eng,544244,GALAPREC,INE0RE001014,Industrial Manufacturing,Industrial Products,921.85,32.41,1179.74,0.00,12.23,21.39,94.56,25.56,15.50,18.39
Ganesh Green,,GGBL,INE0R8C01018,Electrical Equipment,Other Electrical Equipment,343.55,11.34,852.04,0.00,42.34,147.60,724.85,300.98,36.81,31.33
Garuda Cons,544271,GARUDA,INE0JVO01026,Construction,Civil Construction,173.97,13.21,1618.65,0.01,34.42,90.80,149.05,84.15,41.81,40.36
GK Energy,544525,GKENERGY,INE1AG301022,Construction,Civil Construction,124.34,12.53,2521.83,0.00,59.05,31.66,418.57,18.74,40.87,58.43
GNG Electronics,544455,EBGNG,INE18JU01028,IT - Hardware,Computers Hardware & Equipments,438.95,37.91,5004.54,0.00,42.15,185.76,651.66,42.98,20.30,20.54
Goel Construct.,544504,,INE0ZOM01013,Construction,Civil Construction,383.65,11.98,554.36,0.00,29.49,36.84,411.92,29.61,34.23,34.23
Goldiam Intl.,526729,GOLDIAM,INE025B01025,Consumer Durables,"Gems, Jewellery And Watches",408.90,27.07,4617.21,0.73,37.23,61.38,234.60,18.14,30.32,24.90
Hemant Surgical,543916,,INE0GYI01028,Healthcare Equipment & Supplies,Medical Equipment & Supplies,403.80,28.88,526.49,0.00,12.83,159.19,166.73,189.16,19.64,21.95
Indo SMC,544681,,INE0WKY01013,Electrical Equipment,Other Electrical Equipment,281.10,19.84,642.46,0.00,20.93,344.37,197.20,186.09,33.91,36.26
Indo Thai Sec.,533676,INDOTHAI,INE337M01021,Capital Markets,Stockbroking & Allied,227.10,37.59,2487.25,0.04,26.18,1114.73,38.34,555.38,34.58,23.81
Jaro Institute,544534,JARO,INE00YJ01010,Other Consumer Services,E-Learning,562.30,23.57,1247.11,0.36,21.33,17.26,72.79,-1.79,24.33,37.18
JD Cables,544524,,INE14VP01014,Industrial Products,Cables - Electricals,228.15,21.76,514.50,0.00,11.93,15.71,121.26,12.82,65.58,42.74
Jeena Sikho,544476,JSLL,INE0J5801029,Pharmaceuticals & Biotechnology,Pharmaceuticals,614.95,37.44,7643.87,0.18,66.73,405.15,221.66,91.60,50.24,53.62
Jupiter Wagons,533272,JWL,INE209L01016,Industrial Manufacturing,Railway Wagons,290.75,51.51,12425.79,0.34,58.33,-40.39,775.93,-22.41,21.49,25.84
Krishna Defence,,KRISHNADEF,INE0J5601015,Aerospace & Defense,Aerospace & Defense,1101.50,43.15,1644.91,0.09,12.30,64.44,64.85,42.18,30.75,24.00
Kwality Pharma,539997,KPL,INE552U01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,2309.60,35.26,2396.49,0.00,25.31,74.60,157.11,35.81,24.25,19.53
Macfos,543787,,INE0OLH01013,Retailing,E-Retail/ E-Commerce,1136.25,45.89,1176.98,0.00,9.85,101.43,102.11,63.40,33.76,43.60
Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,1426.40,36.52,8516.82,0.04,59.52,40.81,382.30,64.21,35.45,23.95
Marsons,517467,MARSONS,INE415B01044,Electrical Equipment,Other Electrical Equipment,143.03,53.17,2461.55,0.03,22.58,149.89,92.26,65.34,25.39,20.77
Modi's Navnirman,543539,MODIS,INE0L0L01012,Realty,"Residential, Commercial Projects",335.40,22.52,657.09,0.00,4.41,192.05,51.49,158.22,29.57,15.78
Modison,506261,MODISONLTD,INE737D01021,Electrical Equipment,Other Electrical Equipment,284.60,11.73,923.53,1.23,36.00,442.75,287.32,120.90,30.86,19.60
NDR Auto Compon.,543214,NDRAUTO,INE07OG01012,Auto Components,Auto Components & Equipments,800.20,30.48,1903.30,0.34,18.45,12.57,229.07,19.28,22.16,21.50
Network People,544396,NPST,INE0FFK01017,IT - Services,IT Enabled Services,1155.30,59.03,2410.36,0.17,12.24,134.87,61.98,135.22,19.67,56.21
OBSC Perfection,,OBSCP,INE0YHV01011,Auto Components,Auto Components & Equipments,459.85,44.00,1188.51,0.00,8.66,70.14,71.52,77.38,19.52,24.66
Om Power Transmission,544750,OMPOWER,INE25E901019,Construction,Civil Construction,170.69,14.61,584.53,0.00,16.65,36.48,174.62,67.20,42.70,35.48
One Global Serv,514330,,INE670O01013,Healthcare Services,Healthcare Service Provider,445.30,14.02,870.25,0.00,21.66,522.41,141.27,323.34,56.38,53.66
OSEL Devices,,OSELDEVICE,INE0RMF01018,Healthcare Equipment & Supplies,Medical Equipment & Supplies,492.85,29.98,877.01,0.00,14.06,16.78,145.81,47.10,24.40,36.58
Oswal Pumps,544418,OSWALPUMPS,INE0BYP01024,Industrial Products,"Compressors, Pumps & Diesel Engines",362.05,10.94,4127.55,0.00,92.53,43.90,509.74,39.79,38.24,63.23
Pace Digitek,544550,PACEDIGITK,INE0S3G01027,Telecom - Services,Telecom - Infrastructure,189.94,13.78,4099.88,0.00,105.92,73.27,1096.78,60.52,21.26,38.63
Panache Digilife,,PANACHE,INE895W01019,IT - Services,IT Enabled Services,339.30,30.25,543.36,0.00,8.51,402.27,94.55,57.53,23.67,16.66
Parth Electrical,,PARTH,INE1H7V01011,Electrical Equipment,Other Electrical Equipment,436.50,41.90,596.61,0.00,8.13,35.73,117.61,12.26,21.05,29.04
Piccadily Agro,530305,PICCADIL,INE546C01010,Beverages,Breweries & Distilleries,579.55,41.55,5712.75,0.00,44.70,12.14,335.47,31.44,18.01,23.43
PNGS Gargi FJ,543709,,INE0NT601018,Consumer Durables,"Gems, Jewellery And Watches",817.15,27.21,855.58,0.00,5.14,25.06,29.59,30.41,33.78,45.03
Prizor Viztech,,PRIZOR,INE0V9N01017,Industrial Manufacturing,Industrial Products,658.75,34.26,711.20,0.00,14.84,152.81,105.93,164.43,37.70,51.70
Radhika Jeweltec,540125,RADHIKAJWE,INE583V01021,Consumer Durables,"Gems, Jewellery And Watches",58.06,9.16,685.11,0.00,7.53,-32.35,193.36,23.54,25.07,25.14
Rajesh Power,544291,,INE0VN801010,Other Utilities,Multi Utilities,877.25,11.45,1579.70,0.11,79.48,32.19,990.12,30.45,48.56,44.96
Rajoo Engineers,522257,RAJOOENG,INE535F01024,Industrial Manufacturing,Industrial Products,55.06,20.61,983.79,0.27,1.83,-89.35,79.40,-11.68,24.49,26.48
Saatvik Green,544526,SAATVIKGL,INE13B501022,Electrical Equipment,Other Electrical Equipment,441.05,15.55,5605.97,0.00,60.42,-33.60,1607.66,74.95,32.92,45.39
Sacheerome,,SACHEEROME,INE1ARD01016,Chemicals & Petrochemicals,Specialty Chemicals,331.50,26.08,741.66,0.00,13.50,51.01,75.82,32.83,35.72,36.70
Sambhv Steel,544430,SAMBHV,INE12NJ01018,Industrial Products,Iron & Steel Products,104.06,21.40,3066.35,0.00,55.78,238.88,685.31,38.37,19.07,18.40
Sandur Manganese,504918,SANDUMA,INE149K01016,Consumable Fuels,Coal,226.31,16.14,11001.04,0.18,236.28,50.94,1511.39,14.39,24.40,20.02
Sathlokhar Sys.,,SSEGL,INE0RFP01011,Construction,Civil Construction,379.85,11.96,986.80,0.00,30.26,64.64,277.37,48.91,37.09,69.02
Shakti Pumps,531431,SHAKTIPUMP,INE908D01010,Industrial Products,"Compressors, Pumps & Diesel Engines",524.75,25.14,6475.31,0.19,38.33,-65.23,857.77,28.93,23.73,36.81
Shilchar Tech.,531201,SHILCTECH,INE024F01011,Electrical Equipment,Other Electrical Equipment,4015.00,29.04,4593.24,0.31,28.39,-48.72,151.65,-34.59,50.72,65.56
Sika Interplant,523606,SIKA,INE438E01032,Aerospace & Defense,Aerospace & Defense,910.70,52.98,1930.76,0.26,7.83,-1.01,41.33,-10.19,35.24,29.95
Silver Touch,543525,SILVERTUC,INE625X01026,IT - Software,Computers - Software & Consulting,168.31,59.74,2134.34,0.03,13.22,43.54,100.53,17.35,28.93,23.54
Sobhagya Mercant,512014,,INE754D01018,Commercial Services & Supplies,Diversified Commercial Services,911.55,40.32,888.62,0.00,5.67,-25.20,81.50,43.92,23.44,30.31
Solarworld Ene.,544532,SOLARWORLD,INE0TY101024,Construction,Civil Construction,209.75,15.09,1817.96,0.00,49.06,419.70,591.81,235.47,23.80,44.02
Sri Lotus,544469,LOTUSDEV,INE0V9Q01010,Realty,"Residential, Commercial Projects",137.88,28.42,6738.52,0.00,100.92,11.45,307.50,61.82,21.15,30.41
SRM Contractors,544158,SRM,INE0R6Z01013,Construction,Civil Construction,516.00,10.66,1183.92,0.00,54.10,124.67,445.75,95.87,37.14,32.80
Sunshield Chem.,530845,,INE199E01014,Chemicals & Petrochemicals,Specialty Chemicals,1019.15,30.28,896.33,0.29,10.66,85.71,109.67,-0.58,19.89,19.01
Supriya Lifesci.,543434,SUPRIYA,INE07RO01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,968.70,37.22,7796.37,0.10,74.23,47.34,276.53,50.20,25.13,24.91
Suraj Estate,544054,SURAJEST,INE843S01025,Realty,"Residential, Commercial Projects",224.75,10.98,1073.71,0.00,25.17,25.88,180.05,6.01,17.27,22.74
Syncom Formul.,524470,SYNCOMF,INE312C01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,15.01,18.57,1410.94,0.00,24.57,40.48,134.00,-9.74,26.84,18.56
Tinna Rubber,530475,TINNARUBR,INE015C01016,Industrial Products,Rubber,780.45,26.60,1406.04,0.51,16.53,31.19,156.95,21.64,22.31,27.66
Tips Music,532375,TIPSMUSIC,INE716B01029,Entertainment,Media & Entertainment,662.45,39.07,8468.20,1.96,59.06,92.94,103.93,32.41,122.19,111.61
Transrail Light,544317,TRANSRAILL,INE454P01035,Electrical Equipment,Heavy Electrical Equipment,479.50,15.48,6437.58,0.17,96.50,-23.76,1863.46,-4.24,29.18,33.14
Unified Data,544406,,INE1ABX01018,IT - Services,IT Enabled Services,399.00,19.67,801.59,1.38,23.48,94.05,138.97,21.47,45.25,52.77
Unihealth Hosp,,UNIHEALTH,INE0PRF01011,Healthcare Services,Hospital,431.20,26.54,685.61,0.00,17.09,18.98,65.32,17.06,27.39,21.64
Venus Pipes,543528,VENUSPIPES,INE0JA001018,Industrial Products,Iron & Steel Products,1398.00,28.31,2896.11,0.07,25.50,6.96,302.20,17.07,22.50,25.28
Vikran Engg.,544496,VIKRAN,INE01R501028,Construction,Civil Construction,70.96,19.77,1830.14,0.00,56.00,48.31,647.40,82.19,16.55,26.41
Vinsys IT Serv.,,VINSYS,INE0OSJ01014,Other Consumer Services,Education,366.00,18.15,539.84,0.00,21.40,9.48,148.36,24.08,21.32,27.60
Vivid Electromech,,VIVIDEL,INE24H301028,Electrical Equipment,Other Electrical Equipment,945.65,26.59,840.47,0.00,22.16,41.69,129.57,27.96,58.63,53.21
Waaree Renewab.,534618,WAAREERTL,INE299N01021,Electrical Equipment,Other Electrical Equipment,974.00,21.23,10163.28,0.10,155.71,60.69,1102.40,131.31,83.61,88.61
Wealth First Por,544536,WEALTH,INE658T01017,Finance,Other Financial Services,987.40,27.21,1052.07,2.03,10.49,345.22,16.51,606.44,34.63,43.13
Yash Highvoltage,544310,,INE00GK01023,Electrical Equipment,Other Electrical Equipment,723.05,53.06,2064.40,0.14,23.72,68.89,135.57,46.53,28.66,33.99
Z-Tech (India),,ZTECH,INE0ISZ01012,Other Utilities,Waste Management,580.55,23.41,839.37,0.00,19.14,125.18,58.83,68.13,19.76,36.42
