Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Price to book value
AGI Greenpac,500187,AGI,INE415A01038,Industrial Products,Packaging,589.00,10.71,3810.70,1.18,115.60,19.66,742.39,5.33,19.60,5.40,12.05,-3.03,202603.00,54.44,17.87,10.82,1.59
Ashoka Buildcon,533271,ASHOKA,INE442H01029,Construction,Civil Construction,122.70,4.28,3444.47,0.00,146.80,-64.65,1954.30,-27.47,26.52,-25.08,-52.11,-35.70,202603.00,90.84,5.10,35.09,0.52
Balmer Law. Inv.,532485,BLIL,INE525F01025,Finance,Non Banking Financial Company (NBFC),72.50,9.04,1609.30,5.92,84.68,12.17,746.32,22.15,16.91,7.15,4.47,2.30,202603.00,8.04,2.44,17.38,1.11
Bhansali Engg.,500052,BEPL,INE922A01025,Chemicals & Petrochemicals,Specialty Chemicals,94.61,13.10,2354.44,4.22,51.60,30.63,341.61,-0.97,23.75,-8.71,0.12,0.81,202603.00,7.24,2.07,9.65,2.17
C P C L,500110,CHENNPETRO,INE178A01016,Petroleum Products,Refineries & Marketing,1106.55,5.30,16477.79,0.73,1421.85,202.57,16817.32,-2.50,35.11,7.89,1349.25,368.26,202603.00,208.36,95.48,-4.22,1.49
Chamanlal Setia,530307,CLSEL,INE419D01026,Agricultural Food & other Products,Other Agricultural Products,283.35,12.28,1408.97,0.87,38.27,55.89,428.37,16.50,18.32,-3.72,11.81,11.10,202603.00,23.08,7.70,0.49,1.70
D B Corp,533151,DBCORP,INE950I01011,Media,Print Media,205.05,11.00,3654.93,5.84,62.19,18.84,576.39,5.25,18.23,0.70,-10.73,-10.58,202603.00,18.63,3.49,24.91,1.50
Deep Industries,543288,DEEPINDS,INE0FHS01024,Oil,Oil Equipment & Services,492.10,8.52,3149.44,0.60,-7.22,417.40,248.71,48.72,16.48,54.60,75.33,47.43,202603.00,28.12,-2.24,62.74,1.55
Dolat Algotech,505526,DOLATALGO,INE966A01022,Capital Markets,Stockbroking & Allied,72.25,9.87,1271.60,0.34,46.81,17.75,125.89,10.52,18.13,-23.84,-40.16,-34.53,202603.00,7.32,2.65,3.59,1.13
Dollar Industrie,541403,DOLLAR,INE325C01035,Textiles & Apparels,Garments & Apparels,263.05,14.10,1491.90,1.14,31.41,10.13,602.44,12.28,13.61,9.67,20.99,12.59,202603.00,18.64,5.54,22.12,1.57
Expleo Solutions,533121,EXPLEOSOL,INE201K01015,IT - Services,IT Enabled Services,896.65,10.27,1391.54,5.59,41.67,66.03,286.28,11.92,24.77,8.11,33.33,2.60,202603.00,79.89,26.85,-12.49,1.79
Federal-Mogul Go,505744,FMGOETZE,INE529A01010,Auto Components,Auto Components & Equipments,424.65,12.94,2362.32,0.00,50.80,-14.39,488.58,6.50,18.52,8.79,9.21,3.15,202603.00,30.68,8.83,21.55,1.65
Filatex India,526227,FILATEX,INE816B01035,Textiles & Apparels,Other Textile Products,46.39,11.19,2060.03,0.53,40.25,-2.73,985.49,-8.75,16.97,-2.15,36.68,21.58,202603.00,4.14,0.91,26.92,1.39
GNA Axles,540124,GNA,INE934S01014,Auto Components,Auto Components & Equipments,371.20,13.64,1593.60,0.81,30.82,21.10,410.94,8.86,14.56,-3.98,9.60,12.99,202603.00,27.24,7.18,-3.54,1.58
HMA Agro Inds.,543929,HMAAGRO,INE0ECP01024,Food Products,Meat Products including Poultry,23.10,7.02,1156.78,1.29,8.23,-39.71,1579.10,5.30,15.99,34.75,90.62,50.61,202603.00,3.29,0.16,9.10,1.24
Indraprastha Gas,532514,IGL,INE203G01027,Gas,LPG/CNG/PNG/LNG Supplier,162.60,14.68,22764.03,2.66,338.75,-25.18,4162.69,5.45,17.90,8.31,-6.60,-7.54,202603.00,11.07,2.43,-0.94,1.95
Jindal Drilling,511034,JINDRILL,INE742C01031,Oil,Offshore Support Solution Drilling,607.05,8.21,1759.20,0.17,45.38,-32.23,262.87,7.29,15.40,20.37,0.49,45.19,202603.00,72.67,15.66,30.53,0.93
Jindal Poly Inve,536773,JPOLYINVST,INE147P01019,Finance,Investment Company,1013.10,1.19,1064.76,0.00,702.05,2000.06,961.80,12230.77,12.83,2549.02,171.30,2249.30,202512.00,845.71,667.86,-20.97,0.65
JK Tyre & Indust,530007,JKTYRE,INE573A01042,Auto Components,Tyres & Rubber Products,389.55,12.71,11230.28,0.76,177.96,111.55,4223.44,12.37,15.52,11.12,71.08,27.08,202603.00,26.92,6.17,36.62,1.86
Kalyani Steels,500235,KSL,INE907A01026,Industrial Products,Iron & Steel Products,850.00,14.20,3710.50,1.17,71.03,-9.30,484.39,-11.01,14.67,-6.88,3.37,-3.13,202603.00,58.45,16.27,16.15,1.76
Kama Holdings,532468,KAMAHOLD,INE411F01010,Finance,Holding Company,2633.80,8.75,8452.02,1.58,584.02,12.69,4657.56,7.07,14.00,7.43,52.98,25.05,202603.00,290.04,91.69,-8.17,1.04
KRBL,530813,KRBL,INE001B01026,Agricultural Food & other Products,Other Agricultural Products,347.85,12.26,7961.98,1.01,155.38,0.76,1525.50,5.77,15.16,9.01,36.23,33.77,202603.00,28.31,6.79,-1.69,1.37
Lincoln Pharma.,531633,LINCOLN,INE405C01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,621.20,14.15,1244.20,0.28,11.63,0.43,187.28,11.36,16.27,7.67,8.45,-3.92,202603.00,43.88,5.81,6.61,1.60
Mah. Seamless,500265,MAHSEAMLES,INE271B01025,Industrial Products,Iron & Steel Products,620.30,11.84,8311.50,1.61,102.84,-56.91,1280.11,-9.71,14.29,-11.28,-9.60,-26.44,202603.00,52.34,7.67,-2.86,1.21
Monte Carlo Fas.,538836,MONTECARLO,INE950M01013,Textiles & Apparels,Garments & Apparels,552.50,10.25,1145.45,3.63,5.04,149.03,280.30,36.11,13.90,15.95,40.12,21.46,202603.00,53.89,2.43,-5.58,1.26
