Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Pledged percentage
A2Z Infra Engg.,533292,A2ZINFRA,INE619I01012,Construction,Civil Construction,14.53,18.62,257.94,0.00,-0.63,521.74,108.97,28.87,13.78,99.68
Aditya Ispat,513513,,INE570B01012,Industrial Products,Iron & Steel Products,9.90,,5.30,0.00,-0.44,-151.16,8.19,-29.82,-7.34,100.00
Adtech Systems,544185,,INE257C01014,Industrial Manufacturing,Industrial Products,61.41,21.39,73.16,1.63,0.49,-43.68,15.96,33.56,9.31,29.68
Advent Hotels,544446,ADVENTHTL,INE28GN01010,Leisure Services,Hotels & Resorts,136.64,15.18,737.08,0.00,3.67,-62.31,115.41,6.80,6.78,28.92
Afcons Infrastr.,544280,AFCONS,INE101I01011,Construction,Civil Construction,339.05,43.26,12469.74,0.74,-88.55,-179.69,2613.84,-18.91,13.63,60.13
Algoquant Fin,505725,ALGOQUANT,INE598D01035,Finance,Other Financial Services,56.44,48.46,1586.51,0.00,15.88,1398.11,77.28,43.35,31.43,32.42
Alkali Metals,533029,ALKALI,INE773I01017,Chemicals & Petrochemicals,Specialty Chemicals,86.81,157.84,88.39,0.58,4.02,-6.51,28.73,15.52,8.69,30.06
Amin Tannery,541771,,INE572Z01017,Consumer Durables,Leather And Leather Products,1.67,81.95,18.03,0.00,0.04,-63.64,6.13,-36.28,5.28,50.84
Andhra Cements,532141,ACL,INE666E01020,Cement & Cement Products,Cement & Cement Products,55.37,,510.36,0.00,48.52,211.16,154.85,73.07,-5.55,31.67
ANG Lifesciences,540694,,INE236W01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,27.31,,35.66,0.00,-4.75,8.48,18.73,-24.26,-4.18,44.88
Angel Fibers,541006,,INE339Z01011,Textiles & Apparels,Other Textile Products,11.43,22.33,28.58,0.00,-0.45,-125.14,101.04,1.23,10.25,28.71
Anmol India,542437,ANMOL,INE02AR01019,Consumable Fuels,Trading - Coal,11.58,5.83,65.91,0.00,2.51,56.88,308.51,-1.82,8.79,38.28
Annapurna Swadi.,,ANNAPURNA,INE0MGM01017,Food Products,Packaged Foods,139.20,9.95,303.73,0.00,15.97,100.19,270.59,32.51,12.63,87.44
Ansal Properties,500013,ANSALAPI,INE436A01026,Realty,"Residential, Commercial Projects",3.87,,60.92,0.00,13.21,270.03,12.77,-84.66,,72.38
Apollo Micro Sys,540879,APOLLO,INE713T01028,Aerospace & Defense,Aerospace & Defense,409.00,129.41,14613.26,0.06,36.79,168.71,293.26,81.28,14.47,39.92
Aqylon Nexus,530943,AQYLON,INE416A01051,Entertainment,TV Broadcasting & Software Production,64.42,,1634.53,0.00,-7.99,-3183.33,3.88,179.14,131.18,32.43
Arshiya,506074,ARSHIYA,INE968D01022,Transport Services,Logistics Solution Provider,1.18,,31.09,0.00,-0.88,99.58,4.65,35.17,,100.00
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,155.44,24.54,91303.20,2.25,1381.32,9.51,17246.44,17.36,13.82,40.10
Aster DM Health.,540975,ASTERDM,INE914M01019,Healthcare Services,Hospital,728.35,92.46,37737.35,0.69,153.58,41.97,1182.38,18.20,11.40,40.66
AVG Logistics,543910,AVG,INE680Z01018,Transport Services,Logistics Solution Provider,155.40,14.13,290.72,0.77,5.36,-2.37,133.77,-6.01,12.61,66.73
B-Right Real,543543,,INE0IZQ01016,Realty,"Residential, Commercial Projects",934.60,27.47,965.55,0.00,33.43,2667.61,113.29,80.40,21.77,31.76
B.L.Kashyap,532719,BLKASHYAP,INE350H01032,Construction,Civil Construction,55.01,91.12,1240.15,0.00,-12.52,591.26,363.71,23.64,13.03,99.34
Bajaj Hindusthan,500032,BAJAJHIND,INE306A01021,Agricultural Food & other Products,Sugar,18.38,31.24,4394.04,0.00,390.68,85.69,1668.71,7.41,2.27,100.00
Bedmutha Indus.,533270,BEDMUTHA,INE844K01012,Industrial Products,Iron & Steel Products,113.40,56.29,365.87,0.00,14.63,606.76,435.63,54.63,13.99,95.06
BGR Energy Sys.,532930,BGRENERGY,INE661I01014,Construction,Civil Construction,346.35,,2499.32,0.00,-770.59,-132.48,50.12,-61.47,-26.94,58.82
Bharat Wire,539799,BHARATWIRE,INE316L01019,Industrial Products,Iron & Steel Products,223.06,21.11,1529.85,0.00,16.46,-20.10,141.48,-17.66,12.32,51.00
Bharatiya Glob.,533499,BGLOBAL,INE224M01013,IT - Services,IT Enabled Services,3.12,1.73,4.94,0.00,2.47,165.48,0.33,32.00,-1.03,64.59
Bihar Sponge,500058,,INE819C01011,Ferrous Metals,Sponge Iron,14.58,11.62,131.52,0.00,1.25,-62.80,16.92,-82.82,39.01,52.05
Bluestone Jewel,544484,BLUESTONE,INE304W01038,Consumer Durables,"Gems, Jewellery And Watches",479.60,492.40,7307.23,0.00,31.18,162.67,681.47,47.73,7.07,37.21
Bodhi Tree,543767,BTML,INE0EEJ01023,Entertainment,Digital Entertainment,6.06,16.36,110.11,0.00,2.35,1.40,39.02,131.30,22.43,55.87
Bosch Home Comfort,523398,BOSCH-HCIL,INE782A01015,Consumer Durables,Household Appliances,1396.20,291.57,3796.27,2.58,40.87,-30.75,965.35,3.52,4.64,29.19
BPL,500074,BPL,INE110A01019,Consumer Durables,Consumer Electronics,54.33,,266.09,0.00,-10.99,-123.05,19.62,4.70,-1.78,79.61
Brahmaputra Inf.,535693,,INE320I01017,Construction,Civil Construction,167.80,7.27,486.93,0.00,15.12,4625.00,92.55,185.30,10.78,100.00
Brookfield India,543261,BIRET,INE0FDU25010,Realty,Real Estate Investment Trusts (REITs),318.88,54.99,26463.24,7.88,53.86,-50.20,959.58,54.71,5.66,90.00
Capacit'e Infra.,540710,CAPACITE,INE264T01014,Construction,Civil Construction,226.45,10.00,1915.86,0.00,44.55,-11.04,711.78,6.03,15.64,31.89
Celebrity Fash.,532695,CELEBRITY,INE185H01016,Textiles & Apparels,Garments & Apparels,7.91,,51.06,0.00,-1.62,24.65,43.49,-15.57,-12.31,72.46
Centrum Capital,501150,CENTRUM,INE660C01027,Finance,Other Financial Services,22.45,,1092.93,0.00,-31.27,-573.32,1029.69,-7.75,7.45,29.96
Chalet Hotels,542399,CHALET,INE427F01016,Leisure Services,Hotels & Resorts,784.60,26.60,17182.28,0.13,163.01,31.64,558.22,6.94,17.07,31.91
Challani Capital,530747,,INE807A01010,Finance,Non Banking Financial Company (NBFC),20.40,40.80,30.60,0.00,0.17,-82.11,0.57,-49.11,9.50,53.36
CIAN Agro,519477,,INE052V01019,Agricultural Food & other Products,Edible Oil,1571.10,19.74,4396.86,0.00,63.93,664.71,656.48,33.91,12.27,44.37
Cineline India,532807,CINELINE,INE704H01022,Entertainment,"Film Production, Distribution & Exhibition",79.42,22.72,272.14,0.00,3.32,-75.24,62.23,13.12,10.86,26.47
Comfort Intech,531216,COMFINTE,INE819A01049,Beverages,Breweries & Distilleries,6.18,,197.72,1.13,-5.80,2.04,25.21,2.15,2.67,26.48
Constronics,523844,,INE537B01011,Commercial Services & Supplies,Trading & Distributors,44.50,19.77,55.75,0.00,0.17,-83.33,7.15,-61.20,7.90,99.99
Cube Highways,543899,CUBEINVIT,INE0NR623014,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",148.01,91.87,19893.58,9.30,134.99,318.54,1162.16,37.37,6.63,50.26
Damodar Indust.,521220,DAMODARIND,INE497D01022,Textiles & Apparels,Other Textile Products,31.90,13.84,74.33,0.00,0.92,-71.34,111.50,30.95,7.49,31.86
Dhruva Cap.Serv.,531237,,INE972E01014,Finance,Non Banking Financial Company (NBFC),429.00,120.03,308.47,0.00,-0.81,-54.55,0.86,75.51,12.97,32.72
Diamant Infra.,508860,,INE206I01026,Construction,Civil Construction,0.84,,2.96,0.00,-0.10,-600.00,0.00,,0.15,77.52
Digikore Studios,,DIGIKORE,INE0QJ901011,Entertainment,Media & Entertainment,57.20,5.73,72.45,0.00,6.53,165.10,31.55,134.05,24.67,86.50
DJS Stock,511636,,INE234E01027,Finance,Other Financial Services,1.89,713.00,14.26,0.00,0.00,-100.00,0.00,,0.61,75.01
Docmode Health,,DHTL,INE0OGG01015,Other Consumer Services,E-Learning,48.45,,15.23,0.00,-0.09,82.69,17.85,-12.59,-0.29,37.37
Dollex Agrotech,,DOLLEX,INE0JHH01011,Agricultural Food & other Products,Sugar,31.45,31.81,125.64,0.00,1.67,-23.39,27.23,-28.32,6.90,88.45
Dr Agarwal's Eye,526783,DRAGARWQ,INE934C01018,Healthcare Services,Hospital,4966.50,34.24,2400.22,0.12,16.24,1.56,120.01,20.21,17.36,29.26
Easy Trip Plann.,543272,EASEMYTRIP,INE07O001026,Leisure Services,"Tour, Travel Related Services",7.16,108.57,2853.01,0.00,3.41,-82.61,151.66,0.72,20.89,25.91
