Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Debt to equity,Interest Coverage Ratio
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,100.17,58.46,12225.97,0.00,54.52,57.68,2174.16,11.95,14.67,7.23,67.57,9.87,202603.00,1.40,0.45,,2.14,1.74
A.K.Capital Serv,530499,AKCAPIT,INE701G01012,Finance,Non Banking Financial Company (NBFC),1708.60,10.22,1127.68,2.22,33.20,25.00,148.57,13.13,9.33,18.76,30.24,17.15,202603.00,167.20,48.64,7.99,2.95,1.65
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1343.10,16.26,10649.14,0.00,181.67,18.21,714.68,12.33,9.92,13.97,14.14,11.53,202603.00,82.60,22.91,14.96,3.11,1.77
Abhinav Leasing,538952,,INE211D01027,Finance,Non Banking Financial Company (NBFC),1.20,9.09,6.00,0.00,-0.32,-28.00,2.00,-23.37,9.76,-83.44,186.96,301.64,202603.00,0.13,-0.06,87.58,5.64,1.58
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025,Power,Power Generation,310.10,37.81,18791.19,0.06,138.31,0.86,547.86,12.52,8.89,44.00,84.79,43.99,202603.00,8.23,2.30,63.01,3.93,1.60
Adani Green,541450,ADANIGREEN,INE364U01010,Power,Power Generation,1475.40,134.12,243024.37,0.00,514.00,55.75,3502.00,13.96,7.02,15.31,8.89,21.14,202603.00,10.03,2.41,15.42,5.19,1.28
Adarsh Plant,526711,,INE627D01016,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,30.45,,30.18,0.00,0.06,104.69,3.19,-27.83,5.97,-31.20,98.21,194.19,202603.00,-0.02,0.06,,20.10,0.94
Adit.Birla Money,532974,BIRLAMONEY,INE865C01022,Capital Markets,Stockbroking & Allied,138.08,12.83,780.28,0.00,18.73,100.75,129.80,30.50,9.86,3.34,-18.06,-1.36,202603.00,10.35,3.31,21.36,7.35,1.60
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,363.30,25.04,95241.67,0.00,1164.72,29.46,13459.25,10.19,8.72,12.00,15.74,16.95,202603.00,14.37,4.31,-9.88,5.22,1.46
Aditya Ispat,513513,,INE570B01012,Industrial Products,Iron & Steel Products,9.90,,5.30,0.00,-0.44,-151.16,8.19,-29.82,-7.34,-42.15,-14.51,68.49,202512.00,-5.46,-0.82,,4.45,-1.35
Advance Petroch.,506947,,INE334N01018,Chemicals & Petrochemicals,Commodity Chemicals,305.45,916.33,27.49,0.00,0.25,-7.41,15.74,3.83,7.25,-5.17,-90.00,23.18,202603.00,0.33,2.78,-68.28,3.47,1.18
Agarwal Fortune,530765,,INE510B01018,Industrial Products,Glass - Industrial,23.00,131.67,7.90,0.00,0.01,-90.00,0.42,-81.97,11.21,27.15,-68.42,3.85,202603.00,0.17,0.03,0.71,2.82,1.37
Aksh Optifibre,532351,AKSHOPTFBR,INE523B01011,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,6.10,,99.25,0.00,2.24,70.57,40.83,23.80,-6.63,-2.16,48.04,152.78,202603.00,-0.80,0.14,,8.53,-0.60
