Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years,Profit growth 3Years
7NR Retail Ltd,540615,,INE413X01035,Retailing,Speciality Retail,5.90,110.13,16.52,0.00,-0.32,-124.62,-0.40,-102.68,0.56,-41.13,-54.55,-277.78,202603.00,0.03,-0.06,-14.50,-35.76,-14.50
Abhinav Capital,532057,,INE516F01016,Finance,Non Banking Financial Company (NBFC),116.00,31.02,80.33,0.00,0.74,23.33,1.10,0.00,4.21,-21.90,114.05,-26.92,202603.00,3.74,1.07,-35.56,-31.18,-35.56
Acme Resources,539391,,INE636B01011,Finance,Non Banking Financial Company (NBFC),32.00,58.01,82.38,0.00,2.35,519.64,1.74,-64.56,1.70,-16.87,-59.89,-99.79,202603.00,0.55,0.91,-51.46,-32.02,-51.46
Add-Shop E-Reta.,541865,,INE01B501018,Retailing,E-Retail/ E-Commerce,7.31,19.71,20.70,0.00,0.36,0.00,56.99,14.60,1.96,1.29,-68.93,-48.19,202603.00,0.37,0.13,-62.04,-7.69,-62.04
Adeshwar Meditex,543309,,INE0H8J01015,Healthcare Services,"Healthcare Research, Analytics & Technology",18.41,21.09,26.57,0.00,0.53,-60.45,26.05,-30.44,5.21,-32.98,-36.36,-37.33,202603.00,0.87,0.37,-15.25,-12.01,-15.25
Advance Meter.,534612,,INE436N01029,Power,Power Generation,19.90,,31.96,0.00,-6.27,11.69,2.41,-25.62,-8.22,-12.49,-0.30,-124.23,202603.00,-6.27,-3.90,-22.92,-9.66,-22.92
AG Ventures,506579,,INE321D01016,Chemicals & Petrochemicals,Commodity Chemicals,104.40,20.57,104.30,0.00,0.56,-103.41,25.22,-9.38,2.38,-1.65,157.28,-44.04,202603.00,5.07,-0.03,-53.12,-41.54,-53.12
Agarwal Indl.,531921,AGARIND,INE204E01012,Chemicals & Petrochemicals,Petrochemicals,415.05,14.25,620.82,0.80,15.75,-48.43,405.38,-50.77,7.92,-31.13,-61.89,-42.03,202603.00,29.13,10.53,-21.75,-6.40,-21.75
Akash InfraProj.,,AKASH,INE737W01013,Construction,Civil Construction,27.28,58.23,46.00,0.00,0.91,1416.67,10.88,-21.56,3.32,21.49,-52.12,42.15,202512.00,0.47,0.54,-28.80,-10.00,-28.80
AKG Exim,,AKG,INE00Y801016,Commercial Services & Supplies,Trading & Distributors,11.53,101.78,36.64,0.00,0.07,-74.07,16.39,-44.55,1.99,-34.43,-57.65,-89.25,202603.00,0.11,0.02,-48.07,-26.71,-48.07
Alfavision Overs,531156,,INE883B01027,Agricultural Food & other Products,Other Agricultural Products,9.16,,28.88,0.00,-0.04,-500.00,0.00,-100.00,0.07,-33.83,-118.75,94.74,202512.00,-0.02,-0.01,-59.90,-71.61,-59.89
Allcargo Logist.,532749,ALLCARGO,INE418H01029,Transport Services,Logistics Solution Provider,9.10,272.60,1362.98,12.09,20.00,-66.67,514.00,0.19,2.05,-87.15,-91.87,-56.07,202603.00,0.05,0.13,-82.39,-51.51,-79.73
Amco India,530133,,INE924B01011,Industrial Products,"Aluminium, Copper & Zinc Products",65.09,43.15,26.75,0.00,0.15,-77.27,28.53,-0.04,7.64,12.30,-65.17,-61.90,202512.00,1.51,0.36,-20.89,-12.34,-20.89
Amin Tannery,541771,,INE572Z01017,Consumer Durables,Leather And Leather Products,1.67,81.95,18.03,0.00,0.04,-63.64,6.13,-36.28,5.28,-16.33,-24.14,-6.46,202603.00,0.02,0.00,-15.14,-12.88,-15.14
Andhra Paper,502330,ANDHRAPAP,INE435A01051,"Paper, Forest & Jute Products",Paper & Paper Products,63.33,67.63,1259.32,1.58,7.72,-1.66,527.05,29.38,1.98,10.38,-68.33,-51.74,202603.00,0.94,0.39,-67.34,-6.74,-67.35
Anik Industries,519383,ANIKINDS,INE087B01017,Commercial Services & Supplies,Trading & Distributors,44.47,73.45,123.40,0.00,0.74,21.31,16.58,-43.28,0.86,49.02,423.08,230.95,202512.00,0.61,0.27,-30.49,-21.83,-30.49
Anjani Finance,531878,,INE283D01018,Finance,Non Banking Financial Company (NBFC),9.14,57.94,9.27,0.00,0.04,-60.00,0.11,120.00,1.45,-42.22,-51.52,-58.49,202603.00,0.16,0.04,-54.33,-28.12,-54.33
Antariksh Indus.,501270,,INE825M01017,Realty,"Residential, Commercial Projects",2.96,1.00,0.06,0.00,0.09,-25.00,0.22,-98.16,5.47,-88.19,-89.09,-88.00,202603.00,2.93,4.39,-32.45,-24.24,-31.90
Apollo Finvest,512437,,INE412D01013,Finance,Non Banking Financial Company (NBFC),334.15,21.77,124.73,0.00,1.07,2.88,5.79,-27.81,11.57,-31.59,-21.40,-11.79,202603.00,18.62,2.87,-17.17,-22.45,-17.16
Apoorva Leasing,539545,,INE217S01014,Finance,Other Financial Services,35.77,,71.45,0.00,0.18,500.00,0.21,10.53,0.32,-87.21,-105.88,-127.18,202512.00,-0.02,0.09,-55.90,-50.08,-55.90
Archean Chemical,543657,ACI,INE128X01021,Chemicals & Petrochemicals,Specialty Chemicals,525.25,60.68,6484.65,0.48,12.23,-74.93,300.94,-12.92,7.69,3.85,-38.84,-24.09,202603.00,8.66,1.09,-34.54,-9.14,-34.47
Arihant's Secur.,531017,,INE190D01015,Commercial Services & Supplies,Diversified Commercial Services,23.88,51.91,11.94,0.00,-0.29,78.36,-0.19,80.21,0.83,-29.46,-53.06,-53.03,202603.00,0.46,-0.58,-25.67,-14.97,-25.67
Arvee Laborat.,,ARVEE,INE006Z01016,Chemicals & Petrochemicals,Specialty Chemicals,165.23,71.97,182.08,0.00,0.52,642.86,10.80,67.44,7.92,-18.13,23.41,-11.63,202603.00,2.30,0.47,-14.93,-19.92,-14.93
Ashnisha Indus.,541702,,INE694W01024,Commercial Services & Supplies,Trading & Distributors,3.92,415.72,103.93,0.00,0.01,-90.00,5.51,429.81,0.25,166.05,47.06,57.61,202603.00,0.01,0.00,-35.18,-13.19,-34.75
Asia Capital,538777,,INE131Q01011,Finance,Non Banking Financial Company (NBFC),69.09,152.57,21.36,0.00,0.01,-80.00,0.09,80.00,3.02,-52.63,-53.33,-95.00,202603.00,0.45,0.03,-11.21,-18.02,-11.21
Asian Star Co.,531847,ASTAR,INE194D01017,Consumer Durables,"Gems, Jewellery And Watches",650.00,25.74,1040.44,0.23,-0.42,91.07,745.97,-12.68,3.56,-2.49,-8.76,-22.81,202603.00,25.25,-0.25,-22.55,-13.66,-22.55
Asian Tea & Exp,519532,,INE822B01017,Commercial Services & Supplies,Trading & Distributors,9.94,,24.79,0.00,-0.06,-110.17,16.64,368.73,2.69,44.07,-139.29,-27.35,202512.00,-0.09,-0.02,-66.88,-13.08,-64.35
Auto Pins (I),531994,,INE706C01028,Auto Components,Auto Components & Equipments,211.00,446.00,120.42,0.00,0.03,-78.57,10.65,-21.05,6.77,-20.07,-18.18,-21.57,202603.00,0.47,0.05,-31.77,-6.29,-31.77
