Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Promoter holding,Pledged percentage
Arshiya,506074,ARSHIYA,INE968D01022,Transport Services,Logistics Solution Provider,1.18,,31.09,0.00,-0.88,99.58,4.65,35.17,,8.57,92.54,80.82,202503.00,-41.54,-0.03,16.17,14.37,100.00
Bajaj Hindusthan,500032,BAJAJHIND,INE306A01021,Agricultural Food & other Products,Sugar,18.38,31.24,4394.04,0.00,390.68,85.69,1668.71,7.41,2.27,-2.15,702.77,26.01,202603.00,0.53,1.65,36.82,13.43,100.00
Bluestone Jewel,544484,BLUESTONE,INE304W01038,Consumer Durables,"Gems, Jewellery And Watches",479.60,492.40,7307.23,0.00,31.18,162.67,681.47,47.73,7.07,37.65,106.64,407.25,202603.00,0.97,2.10,,16.26,37.21
Constronics,523844,,INE537B01011,Commercial Services & Supplies,Trading & Distributors,44.50,19.77,55.75,0.00,0.17,-83.33,7.15,-61.20,7.90,-4.63,-9.90,-25.00,202603.00,2.25,0.14,,10.63,99.99
Deccan Polypacks,531989,,INE132E01015,Industrial Products,Packaging,35.06,12.58,7.42,0.00,-0.02,-100.00,0.00,,,,1083.33,-783.33,202512.00,2.79,-0.09,21.29,12.94,19.00
Diamant Infra.,508860,,INE206I01026,Construction,Civil Construction,0.84,,2.96,0.00,-0.10,-600.00,0.00,,0.15,,-166.67,-33.33,202603.00,-0.02,-0.03,7.72,18.32,77.52
Dish TV India,532839,DISHTV,INE836F01026,Entertainment,TV Broadcasting & Software Production,3.21,,591.05,0.00,-303.95,-244.96,243.07,-29.27,,-25.84,-335.20,-101.30,202603.00,-4.38,-1.65,,4.06,11.61
Esaar (India),531502,,INE404L01039,Commercial Services & Supplies,Diversified Commercial Services,10.44,1.92,21.34,0.00,25.01,1216.52,21.46,751.59,30.86,175.63,597.32,24550.00,202603.00,5.45,12.23,35.48,4.14,99.82
Family Care,516110,,INE146N01016,Healthcare Services,Healthcare Service Provider,3.20,,17.28,0.00,-2.42,87.88,0.06,200.00,-25.62,-97.34,-114.33,-111.60,202603.00,-1.61,-0.45,,18.54,61.71
Gokaldas Exports,532630,GOKEX,INE887G01027,Textiles & Apparels,Garments & Apparels,691.80,50.62,5069.07,0.00,35.96,-31.97,1068.85,5.27,8.39,3.19,-27.23,-3.94,202603.00,13.67,4.91,-19.04,9.15,96.28
