Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7139.95,99.40,151301.52,0.54,1783.65,-25.23,3184.06,5.78,29.93,8.05,-18.64,-19.54,202603.00,140.50,84.17,29.76,15.51
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1796.25,31.87,413848.70,0.42,3308.30,11.43,10737.56,26.50,14.14,27.11,20.29,25.97,202603.00,55.58,14.45,24.61,22.93
Adcounty Media.,544435,,INE0W1601012,Media,Web based media and service,106.90,12.00,240.53,0.00,6.38,61.11,30.22,33.25,37.04,23.03,45.89,34.25,202603.00,8.92,2.84,-89.47,16.53
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,3138.20,100.48,36983.88,0.00,169.13,207.73,1422.03,45.49,29.61,35.64,144.59,128.61,202603.00,31.24,14.36,-61.53,22.71
Aditya Vision,540205,AVL,INE679V01027,Retailing,Speciality Retail,520.00,56.89,6715.16,0.21,21.73,35.98,625.03,28.42,16.97,18.22,8.88,9.53,202603.00,9.05,1.68,19.73,26.42
Advait Energy,543230,ADVAIT,INE0ALI01010,Industrial Products,Cables - Electricals,1990.80,42.14,2178.57,0.09,19.08,55.55,228.20,18.04,27.91,79.03,66.74,60.36,202603.00,47.26,16.15,78.76,89.99
Aether Industri.,543534,AETHER,INE0BWX01014,Chemicals & Petrochemicals,Specialty Chemicals,1105.95,64.86,14677.00,0.00,54.01,4.78,305.12,27.03,13.12,38.33,35.26,50.79,202603.00,16.54,4.07,17.83,21.23
Affle 3i,542752,AFFLE,INE00WC01027,IT - Services,IT Enabled Services,1461.70,45.22,20580.27,0.00,119.51,15.95,724.38,20.28,16.84,19.55,19.11,26.26,202603.00,32.31,8.49,20.75,23.63
Agarwal Toughene,,AGARWALTUF,INE0P8X01016,Industrial Products,Glass - Industrial,118.50,9.69,209.43,0.00,9.34,-12.14,49.04,48.52,22.97,71.61,42.39,39.46,202603.00,12.22,5.28,81.56,33.44
Ajmera Realty,513349,AJMERA,INE298G01035,Realty,"Residential, Commercial Projects",115.70,15.18,2276.93,0.78,58.53,119.94,431.13,184.78,14.28,47.75,20.42,29.35,202603.00,7.61,2.83,23.61,36.25
Algoquant Fin,505725,ALGOQUANT,INE598D01035,Finance,Other Financial Services,55.84,47.97,1569.63,0.00,15.88,1398.11,77.28,43.35,31.43,0.37,0.49,6.38,202603.00,1.16,0.56,119.82,159.59
Amic Forging,544037,,INE0P9J01013,Industrial Products,Castings & Forgings,1659.00,75.92,1915.96,0.00,12.40,-45.42,66.58,4.57,27.89,-10.17,-14.30,84.14,202509.00,24.06,11.82,12.13,19.18
Anand Rathi Shar,544530,ARSSBL,INE549H01021,Capital Markets,Stockbroking & Allied,541.25,25.89,3411.31,0.00,41.99,125.15,255.29,28.25,19.82,10.42,26.90,22.60,202603.00,21.02,6.69,2.77,25.81
Anand Rathi Wea.,543415,ANANDRATHI,INE463V01026,Capital Markets,Financial Products Distributor,3494.65,74.14,29012.83,0.19,102.23,41.14,277.24,29.98,57.47,28.12,32.50,33.48,202603.00,47.15,12.31,32.73,30.97
Anlon Tech,,ANLON,INE0LR101013,Commercial Services & Supplies,Diversified Commercial Services,660.00,29.75,412.86,0.00,8.45,114.47,64.54,107.06,27.08,110.87,113.87,117.12,202603.00,22.19,13.51,40.96,47.67
Antelopus Selan,530075,ANTELOPUS,INE818A01017,Oil,Oil Exploration & Production,813.55,31.90,2860.64,0.00,38.08,157.65,102.01,65.28,21.22,8.06,20.80,16.89,202603.00,25.48,10.83,7.88,33.22
Anthem Bioscienc,544449,ANTHEM,INE0CZ201020,Pharmaceuticals & Biotechnology,Biotechnology,745.00,68.88,41958.03,0.26,189.76,128.88,610.94,26.44,30.45,15.17,34.89,24.17,202603.00,10.54,3.38,21.56,26.20
Apsis Aerocom,,APSISAERO,INE1OOJ01011,Aerospace & Defense,Aerospace & Defense,296.15,47.53,356.92,0.00,4.24,41.81,16.99,78.47,31.78,49.59,12.93,12.35,202603.00,6.23,3.52,-16.05,43.51
Aries Agro,532935,ARIES,INE298I01015,Fertilizers & Agrochemicals,Fertilizers,335.25,10.16,435.97,0.35,-4.79,-19.78,184.80,44.63,22.81,20.98,27.15,31.14,202603.00,32.95,-3.40,35.69,16.82
Arrow Greentech,516064,ARROWGREEN,INE570D01018,Industrial Products,Packaging,519.30,16.57,783.51,0.76,7.44,-35.31,41.78,-27.07,30.45,-17.60,-24.05,-27.13,202603.00,31.38,4.90,56.81,22.61
Asarfi Hospital,543943,,INE0DN001027,Healthcare Services,Hospital,189.40,21.82,372.69,0.00,4.09,6.79,45.03,28.29,18.77,48.71,59.93,48.95,202603.00,8.68,2.08,16.25,36.03
Ashapura Minech.,527001,ASHAPURMIN,INE348A01023,Minerals & Mining,Industrial Minerals,742.00,17.46,7088.06,0.14,120.64,28.03,1968.63,254.55,20.72,91.21,37.58,47.06,202603.00,42.02,11.59,48.45,41.95
Asian Energy,530355,ASIANENE,INE276G01015,Oil,Oil Equipment & Services,365.70,30.81,1777.69,0.27,32.65,50.57,338.23,56.99,16.51,70.10,37.09,44.23,202603.00,11.38,7.11,48.53,93.05
ASK Automotive,544022,ASKAUTOLTD,INE491J01022,Auto Components,Auto Components & Equipments,447.80,29.69,8828.04,0.33,71.54,24.18,1147.12,35.01,25.49,15.98,20.08,22.85,202603.00,15.08,3.63,34.33,17.79
Atlanta Electric,544527,ATLANTAELE,INE0Z4F01028,Electrical Equipment,Heavy Electrical Equipment,2026.20,76.86,15580.82,0.00,102.19,129.07,747.62,81.69,45.26,48.81,70.85,77.95,202603.00,26.24,13.29,-24.46,28.44
Authum Invest,539177,AIIL,INE206F01022,Finance,Non Banking Financial Company (NBFC),474.10,20.86,40261.76,0.04,57.54,-96.61,310.71,-78.60,13.67,-43.04,-54.47,-43.89,202603.00,22.74,0.70,216.77,69.18
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,10550.70,27.32,294889.79,1.42,3492.21,101.63,17832.46,41.01,28.21,23.36,47.50,36.70,202603.00,384.41,131.02,21.57,19.94
Balu Forge,531112,BALUFORGE,INE011E01029,Industrial Products,Castings & Forgings,458.30,21.51,5563.38,0.03,65.74,4.87,263.55,-2.26,22.72,19.89,26.99,19.28,202603.00,21.33,5.42,65.90,50.22
Banco Products,500039,BANCOINDIA,INE213C01025,Auto Components,Auto Components & Equipments,668.95,20.58,9568.49,2.18,147.43,-5.69,1098.74,25.62,30.91,21.29,22.93,11.45,202603.00,33.68,10.31,25.30,18.66
Bansal Wire Inds,544209,BANSALWIRE,INE0B9K01025,Industrial Products,Iron & Steel Products,313.05,30.05,4900.98,0.00,40.07,24.52,1136.36,20.86,13.79,18.61,12.80,15.39,202603.00,10.28,2.56,-45.89,19.92
Bharat Electron,500049,BEL,INE263A01024,Aerospace & Defense,Aerospace & Defense,408.40,49.22,298531.36,0.58,2226.35,4.62,10224.43,11.75,36.53,16.16,14.29,17.74,202603.00,8.29,3.04,26.72,15.90
Bharat Seats,523229,BHARATSE,INE415D01024,Auto Components,Auto Components & Equipments,183.05,26.61,1149.58,0.60,13.25,16.33,574.28,46.16,20.16,51.37,32.64,31.41,202603.00,6.72,2.11,26.11,22.90
Bhatia Communic.,540956,,INE341Z01025,Retailing,Speciality Retail,26.95,22.60,379.06,0.15,4.55,55.29,170.09,63.91,21.28,33.66,21.19,23.53,202603.00,1.19,0.32,20.66,19.98
Bikaji Foods,543653,BIKAJI,INE00E101023,Food Products,Packaged Foods,650.20,62.35,16302.88,0.15,56.04,26.14,720.88,17.99,19.74,14.19,29.82,24.56,202603.00,10.30,2.25,23.81,15.05
BLS E-Services,544107,BLSE,INE0NLT01010,IT - Services,IT Enabled Services,221.70,35.02,2014.28,0.45,18.24,11.67,323.37,35.18,17.00,115.23,14.03,24.60,202603.00,6.33,1.62,27.54,66.30
BLS Internat.,540073,BLS,INE153T01027,Leisure Services,"Tour, Travel Related Services",260.10,15.61,10709.42,0.76,186.90,31.57,814.56,17.58,29.34,36.70,36.23,26.24,202603.00,16.68,4.32,50.09,25.52
Bondada Engineer,543971,,INE0Q8P01029,Telecom - Services,Telecom - Infrastructure,327.25,17.94,3654.44,0.03,62.88,11.39,913.85,27.93,38.66,80.91,84.41,86.70,202603.00,18.23,5.30,105.83,97.22
Borana Weaves,544404,BORANA,INE16SF01016,Textiles & Apparels,Other Textile Products,321.75,13.27,857.31,0.00,17.21,57.89,100.73,27.99,32.74,33.85,58.43,44.81,202603.00,24.25,6.46,-81.91,42.11
Borosil Renew.,502219,BORORENEW,INE666D01022,Industrial Products,Glass - Industrial,500.90,21.53,7026.77,0.00,169.12,941.49,439.92,17.77,25.31,5.38,493.28,658.20,202603.00,9.21,12.07,64.74,20.41
Canara Robeco,544580,CRAMC,INE218I01013,Capital Markets,Asset Management Company,252.20,24.65,5029.29,0.60,41.36,-0.89,103.63,2.81,40.11,12.34,6.87,7.12,202603.00,10.22,2.07,-13.60,30.37
Carysil,524091,CARYSIL,INE482D01024,Consumer Durables,Household Appliances,1093.45,31.41,3110.03,0.22,27.38,45.86,233.72,14.47,17.77,13.29,54.75,26.31,202603.00,34.52,9.53,21.21,15.87
Ceinsys Tech,538734,CEINSYS,INE016Q01014,IT - Software,Computers - Software & Consulting,974.05,15.17,2039.40,0.36,37.17,69.96,170.71,19.89,27.46,58.04,113.75,82.04,202603.00,63.72,17.75,47.54,44.39
Cellecor Gadgets,,CELLECOR,INE0OMO01025,Consumer Durables,Consumer Electronics,37.65,20.98,830.86,0.00,20.08,23.34,650.32,8.35,22.64,25.91,28.19,31.06,202603.00,1.79,0.91,-70.97,69.70
Cemindia Project,509496,CEMPRO,INE686A01026,Construction,Civil Construction,1037.30,29.81,17819.54,0.28,242.17,113.63,2973.49,17.42,33.83,10.59,64.96,17.71,202603.00,34.79,14.10,69.09,25.49
Central Mine Pla,544739,CMPDI,INE05HV01027,Construction,Civil Construction,237.35,27.63,16946.79,0.00,187.82,-32.19,826.88,11.69,38.07,10.17,-8.06,-7.54,202603.00,8.59,2.63,-83.95,18.67
Chalet Hotels,542399,CHALET,INE427F01016,Leisure Services,Hotels & Resorts,778.10,26.39,17039.92,0.13,163.01,31.64,558.22,6.94,17.07,61.24,357.09,61.36,202603.00,29.46,7.44,56.69,34.89
CIAN Agro,519477,,INE052V01019,Agricultural Food & other Products,Edible Oil,1492.55,18.75,4177.03,0.00,63.93,664.71,656.48,33.91,12.27,117.14,441.03,234.83,202603.00,79.57,22.84,722.02,97.51
Cords Cable,532941,CORDSCABLE,INE792I01017,Industrial Products,Cables - Electricals,228.60,14.33,295.53,0.44,8.28,84.41,266.90,14.43,17.73,20.05,41.27,17.94,202603.00,15.97,6.40,41.92,21.93
Corona Remedies,544644,CORONA,INE02ZQ01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,1669.00,51.16,10207.61,0.59,45.05,43.75,353.09,20.23,33.22,17.28,33.41,21.92,202603.00,30.22,7.37,33.12,16.65
Crizac,544439,CRIZAC,INE0S4R01014,Retailing,Internet & Catalogue Retail,210.75,16.80,3687.75,3.81,74.50,50.26,391.73,15.02,52.34,22.68,43.76,34.24,202603.00,12.52,4.29,-51.68,30.13
Cummins India,500480,CUMMINSIND,INE298A01020,Industrial Products,"Compressors, Pumps & Diesel Engines",5730.75,65.52,158856.36,0.89,649.46,18.00,3011.18,21.89,39.50,16.87,21.50,24.75,202603.00,85.20,23.43,26.30,16.04
Cupid,530843,CUPID,INE509F01029,Personal Products,Personal Care,131.00,162.72,17615.11,0.00,36.26,213.94,132.04,116.07,33.46,113.87,160.99,254.04,202603.00,0.81,0.27,50.77,34.96
CWD,543378,,INE0H8H01019,Consumer Durables,Consumer Electronics,299.35,53.97,664.84,0.00,7.96,83.41,109.68,308.49,37.77,358.45,390.84,296.91,202603.00,5.55,3.58,66.89,87.94
