Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Average return on capital employed 3Years
Affle 3i,542752,AFFLE,INE00WC01027,IT - Services,IT Enabled Services,1461.70,45.22,20580.27,0.00,119.51,15.95,724.38,20.28,16.84,19.55,19.11,26.26,202603.00,32.31,8.49,20.75,16.64
AGI Greenpac,500187,AGI,INE415A01038,Industrial Products,Packaging,588.95,10.71,3810.38,1.18,115.60,19.66,742.39,5.33,19.60,5.40,12.05,-3.03,202603.00,54.44,17.87,10.82,19.07
Antelopus Selan,530075,ANTELOPUS,INE818A01017,Oil,Oil Exploration & Production,813.55,31.90,2860.64,0.00,38.08,157.65,102.01,65.28,21.22,8.06,20.80,16.89,202603.00,25.48,10.83,7.88,18.76
Apcotex Industri,523694,APCOTEXIND,INE116A01032,Industrial Products,Rubber,500.00,25.73,2592.25,1.33,34.74,107.28,397.58,13.79,19.88,3.53,87.56,42.20,202603.00,19.56,6.70,-2.25,15.38
Asian Energy,530355,ASIANENE,INE276G01015,Oil,Oil Equipment & Services,365.70,30.81,1777.69,0.27,32.65,50.57,338.23,56.99,16.51,70.10,37.09,44.23,202603.00,11.38,7.11,48.53,15.21
AWL Agri Busine.,543458,AWL,INE699H01024,Agricultural Food & other Products,Edible Oil,191.90,23.49,24940.83,0.52,293.06,53.50,21464.78,17.75,18.33,17.37,-13.70,-14.30,202603.00,8.02,2.25,22.00,16.30
Bharat Seats,523229,BHARATSE,INE415D01024,Auto Components,Auto Components & Equipments,183.45,26.67,1152.09,0.60,13.25,16.33,574.28,46.16,20.16,51.37,32.64,31.41,202603.00,6.72,2.11,26.11,17.02
BLS E-Services,544107,BLSE,INE0NLT01010,IT - Services,IT Enabled Services,221.70,35.02,2014.28,0.45,18.24,11.67,323.37,35.18,17.00,115.23,14.03,24.60,202603.00,6.33,1.62,27.54,16.45
Bosch,500530,BOSCHLTD,INE323A01026,Auto Components,Auto Components & Equipments,36837.05,46.22,108645.88,1.38,570.00,2.98,5565.70,13.34,21.54,10.77,16.69,14.75,202603.00,940.27,193.26,18.08,21.09
C P C L,500110,CHENNPETRO,INE178A01016,Petroleum Products,Refineries & Marketing,1108.00,5.30,16499.38,0.73,1421.85,202.57,16817.32,-2.50,35.11,7.89,1349.25,368.26,202603.00,208.36,95.48,-4.22,24.83
Campus Activewe.,543523,CAMPUS,INE278Y01022,Consumer Durables,Footwear,252.00,51.31,7700.96,0.39,44.14,26.01,455.63,12.30,22.90,11.37,23.83,19.84,202603.00,4.91,1.44,8.67,19.90
Carraro India,544320,CARRARO,INE0V7W01012,Auto Components,Auto Components & Equipments,531.95,22.46,3024.22,0.86,41.02,77.50,602.93,36.84,28.67,24.93,57.36,28.32,202603.00,22.51,7.22,42.94,22.93
Cemindia Project,509496,CEMPRO,INE686A01026,Construction,Civil Construction,1034.60,29.73,17773.16,0.28,242.17,113.63,2973.49,17.42,33.83,10.59,64.96,17.71,202603.00,34.79,14.10,69.09,29.52
Cummins India,500480,CUMMINSIND,INE298A01020,Industrial Products,"Compressors, Pumps & Diesel Engines",5726.00,65.47,158724.69,0.89,649.46,18.00,3011.18,21.89,39.50,16.87,21.50,24.75,202603.00,85.20,23.43,26.30,36.83
Deep Industries,543288,DEEPINDS,INE0FHS01024,Oil,Oil Equipment & Services,492.10,8.52,3149.44,0.60,-7.22,417.40,248.71,48.72,16.48,54.60,75.33,47.43,202603.00,28.12,-2.24,62.74,12.93
Dharmaj Crop,543687,DHARMAJ,INE00OQ01016,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,288.35,17.82,974.54,0.00,3.99,263.52,233.78,11.36,16.45,19.66,56.33,34.00,202603.00,16.18,1.18,26.77,14.32
Dynamic Cables,540795,DYCL,INE600Y01019,Industrial Products,Cables - Electricals,321.95,18.49,1560.12,0.08,24.17,2.59,355.46,7.33,26.69,16.82,30.19,22.84,202603.00,17.43,4.99,35.38,25.72
eClerx Services,532927,ECLERX,INE738I01010,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),1525.60,20.35,14348.38,0.03,189.65,24.45,1107.29,23.27,34.81,22.32,36.05,29.92,202603.00,75.09,20.13,15.29,31.51
Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles,2/3 Wheelers,7191.55,35.52,197274.45,0.98,1519.95,11.58,6080.09,16.01,30.52,24.04,17.25,22.50,202603.00,201.06,55.41,23.89,30.49
Endurance Tech.,540153,ENDURANCE,INE913H01037,Auto Components,Auto Components & Equipments,2785.50,40.47,39181.61,0.37,276.45,17.32,4085.95,37.88,18.28,26.25,23.64,26.73,202603.00,67.66,19.65,27.08,17.38
Fiem Industries,532768,FIEMIND,INE737H01014,Auto Components,Auto Components & Equipments,2253.85,23.17,5932.03,1.34,71.03,26.86,751.25,17.49,32.47,16.22,26.52,22.88,202603.00,97.11,26.99,22.26,28.97
Force Motors,500033,FORCEMOT,INE451A01017,Automobiles,Passenger Cars & Utility Vehicles,19131.70,23.78,25208.40,0.21,278.54,56.59,2549.84,8.23,36.08,12.21,91.93,35.00,202603.00,919.55,211.38,221.39,29.96
Gallantt Ispat L,532726,GALLANTT,INE297H01019,Industrial Products,Iron & Steel Products,660.90,32.92,15946.24,0.20,122.83,5.61,1204.81,12.37,18.23,2.94,21.13,3.17,202603.00,20.07,5.09,50.90,16.46
Garware Hi Tech,500655,GRWRHITECH,INE291A01017,Industrial Products,Plastic Products - Industrial,6000.55,41.21,13940.69,0.21,108.21,39.09,596.69,8.90,18.02,0.51,2.12,-1.45,202603.00,145.59,46.58,27.44,17.52
Gokul Agro,539725,GOKULAGRO,INE314T01033,Agricultural Food & other Products,Edible Oil,234.20,18.70,6910.91,0.00,118.92,144.14,6200.19,13.51,36.73,23.15,50.42,28.07,202603.00,12.52,4.03,40.78,31.43
Gulshan Polyols,532457,GULPOLY,INE255D01024,Agricultural Food & other Products,Other Agricultural Products,176.65,10.30,1101.74,0.17,37.54,434.76,550.82,6.98,18.31,14.49,354.36,136.70,202603.00,17.18,6.02,35.28,9.20
