Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Profit growth 3Years,Sales growth 3Years
A C J K Exports,544743,AMIRCHAND,INE05TO01019,Agricultural Food & other Products,Other Agricultural Products,125.10,12.52,1295.43,0.00,19.96,65.64,694.68,19.70,15.70,14.51,72.25,37.62,202603.00,9.98,1.93,-31.41,83.17,20.37
AB Cotspin,544522,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,219.90,36.42,482.96,0.00,1.96,4.26,104.21,22.67,9.96,0.21,32.73,33.19,202603.00,6.04,0.89,47.66,90.11,20.88
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,438.50,23.98,1051.91,0.23,25.79,55.36,209.67,51.34,24.88,31.92,32.67,35.27,202603.00,18.28,10.75,30.31,53.07,20.95
Advait Energy,543230,ADVAIT,INE0ALI01010,Industrial Products,Cables - Electricals,1991.60,42.16,2179.45,0.09,19.08,55.55,228.20,18.04,27.91,79.03,66.74,60.36,202603.00,47.26,16.15,78.76,82.99,89.99
Aegis Vopak Term,544407,AEGISVOPAK,INE0INX01018,Oil,Oil Storage & Transportation,194.20,69.33,21517.19,0.00,73.87,17.55,243.45,22.23,7.33,48.62,143.95,49.97,202603.00,2.80,0.62,76.55,1471.75,37.73
Aelea Commoditi.,544213,,INE0T3401029,Agricultural Food & other Products,Other Agricultural Products,166.55,15.92,339.23,0.00,12.61,583.14,207.81,120.14,20.91,109.45,739.37,395.18,202603.00,10.47,6.19,-86.01,123.49,51.85
Airfloa Rail,544516,,INE0XBS01012,Industrial Manufacturing,Industrial Products,315.95,19.35,757.36,0.00,27.07,68.77,229.06,113.54,25.87,66.12,53.53,33.04,202603.00,16.33,11.29,76.25,197.29,49.75
Algoquant Fin,505725,ALGOQUANT,INE598D01035,Finance,Other Financial Services,55.84,47.97,1569.63,0.00,15.88,1398.11,77.28,43.35,31.43,0.37,0.49,6.38,202603.00,1.16,0.56,119.82,136.18,159.59
Alpex Solar,,ALPEXSOLAR,INE0R4701017,Electrical Equipment,Other Electrical Equipment,1032.00,13.04,2636.04,0.00,53.27,50.27,671.96,105.25,43.53,184.98,142.51,152.64,202603.00,78.89,20.86,,278.11,125.24
Anand Rathi Shar,544530,ARSSBL,INE549H01021,Capital Markets,Stockbroking & Allied,541.25,25.89,3411.31,0.00,41.99,125.15,255.29,28.25,19.82,10.42,26.90,22.60,202603.00,21.02,6.69,2.77,50.02,25.81
Anant Raj,515055,ANANTRAJ,INE242C01024,Realty,"Residential, Commercial Projects",537.25,34.84,19334.36,0.14,148.71,23.57,646.81,19.64,12.07,21.92,30.39,33.36,202603.00,15.42,4.07,48.33,53.60,37.94
Apollo Micro Sys,540879,APOLLO,INE713T01028,Aerospace & Defense,Aerospace & Defense,426.05,134.81,15222.45,0.06,36.79,168.71,293.26,81.28,14.47,60.89,100.21,68.84,202603.00,3.16,1.05,46.56,75.64,44.85
Apsis Aerocom,,APSISAERO,INE1OOJ01011,Aerospace & Defense,Aerospace & Defense,296.15,47.53,356.92,0.00,4.24,41.81,16.99,78.47,31.78,49.59,12.93,12.35,202603.00,6.23,3.52,-16.05,93.91,43.51
Aptus Pharma,544529,,INE15XJ01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,194.55,72.22,333.65,0.00,2.87,60.34,32.20,117.57,29.97,89.62,49.03,53.61,202603.00,2.69,1.67,4.19,189.71,49.63
Arkade,544261,ARKADE,INE0QRL01017,Realty,"Residential, Commercial Projects",111.90,11.30,2077.54,0.88,-109.57,118.04,196.58,49.55,19.12,19.51,18.32,-8.22,202603.00,0.29,-5.90,-65.97,54.09,54.78
Arrow Greentech,516064,ARROWGREEN,INE570D01018,Industrial Products,Packaging,519.30,16.57,783.51,0.76,7.44,-35.31,41.78,-27.07,30.45,-17.60,-24.05,-27.13,202603.00,31.38,4.90,56.81,56.81,22.61
Arvind SmartSp.,539301,ARVSMART,INE034S01021,Realty,"Residential, Commercial Projects",586.00,27.88,2687.79,1.02,44.17,120.99,155.39,-4.72,12.90,-20.92,-6.07,-9.74,202603.00,21.03,9.23,55.42,56.05,30.14
Ashiana Housing,523716,ASHIANA,INE365D01021,Realty,"Residential, Commercial Projects",361.10,30.79,3629.95,0.69,20.98,3.15,322.81,48.14,14.45,116.18,461.11,640.11,202603.00,11.73,2.09,64.29,63.30,40.78
Asian Energy,530355,ASIANENE,INE276G01015,Oil,Oil Equipment & Services,365.70,30.81,1777.69,0.27,32.65,50.57,338.23,56.99,16.51,70.10,37.09,44.23,202603.00,11.38,7.11,48.53,51.93,93.05
ASM Technologies,526433,,INE867C01010,IT - Software,Computers - Software & Consulting,3090.75,72.77,4508.41,0.14,16.75,4.95,135.12,18.00,27.56,83.00,139.72,112.38,202603.00,41.65,11.49,72.17,89.15,33.85
Australian Prem,,APS,INE0P0001010,Electrical Equipment,Heavy Electrical Equipment,306.00,10.90,616.90,0.03,28.39,8.94,388.18,43.96,55.94,59.19,44.44,65.74,202603.00,28.04,14.08,-74.29,157.77,94.22
